"X","ParticipantID","ses_1","ses_2","ses_3","ses_4","ses_5","ses_6","ses_7","ses_8","ses_9","ses_10","coreself_1","coreself_2","coreself_3","coreself_4","coreself_5","coreself_6","coreself_7","coreself_8","coreself_9","coreself_10","SGPS_1","SGPS_2","SGPS_3","SGPS_4","SGPS_5","SGPS_6","SGPS_7","SGPS_8","SGPS_9","NPI1","NPI2","NPI3","NPI4","NPI5","NPI6","NPI7","NPI8","NPI9","NPI10","NPI11","NPI12","NPI13","NPI14","NPI15","hsns_1","hsns_2","hsns_3","hsns_4","hsns_5","trap1","hsns_6","hsns_7","hsns_8","hsns_9","hsns_10","correct_answer","trap1_item","ID"
18,649,3,3,4,3,4,3,3,2,4,4,5,4,4,4,4,4,5,4,4,4,1,2,3,3,2,3,2,2,2,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,4,2,2,NA,2,4,3,2,2,2,2,NA,NA,"phase_017_subj_154"
20,579,3,3,4,3,3,3,3,4,4,4,4,5,3,4,4,4,4,4,4,3,2,2,3,2,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,3,NA,1,3,3,3,4,2,NA,NA,"phase_017_subj_142"
23,126,3,3,4,4,4,3,3,4,4,4,4,4,4,4,5,5,4,5,4,5,4,4,5,4,4,4,4,4,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,4,2,4,4,4,1,4,4,2,2,2,NA,NA,"phase_017_subj_36"
24,266,3,3,3,3,3,3,3,3,3,3,4,4,2,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,4,2,2,4,2,1,2,4,4,2,4,NA,NA,"phase_017_subj_62"
25,38,4,3,4,3,4,3,3,4,4,3,4,1,1,4,2,5,3,2,4,4,2,1,2,2,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,1,4,NA,4,5,4,3,1,NA,NA,"phase_017_subj_6"
28,533,4,3,4,3,4,3,3,4,3,3,3,2,2,5,3,4,3,3,4,4,2,1,2,2,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,2,4,2,4,4,5,3,2,NA,NA,"phase_017_subj_127"
30,321,3,3,3,3,3,3,3,3,3,3,4,4,3,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,3,3,3,3,4,2,3,4,3,2,NA,NA,"phase_017_subj_70"
31,96,3,3,3,4,3,3,3,3,4,4,4,4,3,4,4,4,4,3,3,4,2,2,2,1,2,2,1,2,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,4,3,3,2,3,3,2,3,4,3,2,NA,NA,"phase_017_subj_27"
32,347,4,3,4,4,3,3,4,3,4,4,5,5,2,4,2,5,3,2,4,3,2,3,2,2,2,2,4,4,2,0,1,1,1,1,1,1,1,0,1,0,0,0,0,1,5,3,3,3,2,1,3,4,4,3,3,NA,NA,"phase_017_subj_77"
33,201,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,2,4,4,4,3,3,3,4,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,5,4,4,5,5,3,3,4,2,2,NA,NA,"phase_017_subj_51"
34,426,4,3,4,3,4,3,4,3,4,4,4,4,4,4,4,5,5,4,4,5,2,1,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,4,2,2,1,2,1,4,4,5,4,4,NA,NA,"phase_017_subj_103"
35,432,4,4,3,4,4,3,3,4,3,3,4,2,1,5,3,4,3,3,4,4,2,2,1,1,2,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,2,5,2,4,5,4,2,4,NA,NA,"phase_017_subj_104"
36,262,3,3,3,3,2,3,3,3,3,3,3,4,3,3,3,4,3,2,4,4,3,3,2,3,4,3,3,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,4,3,3,3,5,2,4,3,4,4,NA,NA,"phase_017_subj_61"
38,51,2,2,1,2,2,1,1,2,1,1,2,2,1,3,2,2,2,1,3,2,4,4,4,3,4,4,4,4,3,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,4,2,4,2,3,4,3,4,4,3,2,NA,NA,"phase_017_subj_10"
39,117,3,3,3,3,2,2,2,4,4,4,3,2,2,3,2,2,2,2,2,4,4,5,5,3,5,4,3,5,2,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,3,5,5,3,3,1,2,2,1,2,2,NA,NA,"phase_017_subj_31"
41,540,4,4,4,4,4,4,4,4,4,4,5,4,2,4,4,5,4,5,4,5,1,1,2,1,2,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,5,1,1,1,1,NA,1,4,4,1,1,NA,NA,"phase_017_subj_135"
43,182,3,4,4,3,3,3,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,4,2,2,2,4,4,2,2,NA,NA,"phase_017_subj_168"
44,27,4,3,4,3,4,3,4,3,4,4,4,4,5,4,3,4,3,3,3,4,2,1,2,2,3,4,2,4,2,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,4,3,2,2,3,2,3,3,3,4,2,NA,NA,"phase_017_subj_4"
45,82,3,3,3,3,3,3,3,3,3,3,3,4,4,3,2,4,3,2,4,4,4,4,4,4,4,4,4,4,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,4,4,3,4,3,2,4,2,2,2,NA,NA,"phase_017_subj_19"
46,122,3,3,4,4,3,3,4,2,4,4,4,4,5,5,4,5,5,5,5,5,2,2,2,2,2,2,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4,1,2,3,2,5,3,4,4,3,1,NA,NA,"phase_017_subj_33"
48,395,3,3,4,3,4,3,4,4,4,4,4,4,4,4,5,4,5,5,4,5,1,1,2,1,2,2,1,4,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,5,4,5,4,4,1,3,4,4,4,5,NA,NA,"phase_017_subj_95"
50,370,4,3,4,3,3,3,3,4,4,4,4,5,4,4,4,2,4,5,4,5,4,4,2,4,4,4,2,4,4,0,1,1,1,0,0,1,1,0,1,0,0,1,0,1,NA,2,4,2,2,1,2,4,2,2,2,NA,NA,"phase_017_subj_87"
51,539,3,3,3,3,2,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4,4,4,4,4,1,3,4,4,2,2,NA,NA,"phase_017_subj_133"
52,357,3,4,2,3,4,3,4,3,4,3,4,2,1,5,2,4,3,2,4,5,2,2,1,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,2,4,5,4,4,5,3,1,NA,NA,"phase_017_subj_82"
53,367,4,3,4,3,4,4,4,4,4,4,5,4,4,4,5,4,5,4,4,5,1,1,1,1,2,1,1,2,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5,2,1,1,2,1,3,1,1,4,3,NA,NA,"phase_017_subj_84"
54,229,3,3,3,3,3,3,3,3,3,3,4,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,4,4,4,4,4,5,2,2,4,2,4,NA,NA,"phase_017_subj_54"
56,671,2,2,1,2,1,2,2,1,2,2,1,2,1,1,2,1,3,2,2,2,2,1,4,3,5,4,4,4,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,4,3,5,4,3,5,2,4,1,4,NA,NA,"phase_017_subj_158"
57,648,3,3,4,3,3,3,3,1,4,4,4,4,4,4,4,4,5,4,4,4,1,2,2,2,3,4,2,4,1,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1,4,2,2,3,2,3,4,3,3,3,3,NA,NA,"phase_017_subj_153"
58,482,3,3,3,4,3,3,3,4,3,3,3,2,2,5,3,4,3,3,4,4,2,1,2,1,2,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,2,4,4,3,4,4,3,2,NA,NA,"phase_017_subj_120"
60,463,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,3,4,4,4,4,3,3,3,3,2,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,2,2,NA,3,4,4,4,3,NA,NA,"phase_017_subj_114"
61,533,3,3,3,3,2,3,2,3,3,3,3,4,2,3,4,4,4,2,4,2,2,4,3,2,4,2,2,2,2,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,4,4,4,3,4,3,4,4,2,4,3,NA,NA,"phase_017_subj_128"
62,368,3,4,4,3,4,3,3,3,4,4,4,5,5,4,4,4,5,4,4,4,1,2,2,2,3,3,2,4,2,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,4,1,1,2,3,1,1,2,1,3,2,NA,NA,"phase_017_subj_86"
64,179,4,4,3,3,4,4,3,4,3,3,4,2,1,5,2,4,3,2,4,4,2,2,1,2,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,2,4,2,4,5,5,3,2,NA,NA,"phase_017_subj_46"
65,538,4,3,4,3,4,3,4,4,3,3,4,4,2,5,4,4,4,4,4,5,2,1,2,2,2,2,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4,4,3,2,4,NA,4,4,5,2,1,NA,NA,"phase_017_subj_132"
66,673,3,3,3,3,2,3,2,3,3,4,4,4,2,4,1,3,2,2,4,2,4,4,5,4,5,4,4,5,4,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,4,1,2,2,4,1,3,4,4,4,2,NA,NA,"phase_017_subj_159"
69,350,3,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,4,4,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5,2,4,2,4,1,2,4,4,2,1,NA,NA,"phase_017_subj_78"
70,26,3,2,2,2,2,3,2,2,2,4,4,2,2,2,2,2,1,2,2,3,5,4,4,4,4,4,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,4,4,2,4,4,4,2,2,2,NA,NA,"phase_017_subj_3"
71,441,3,3,3,3,2,3,3,3,3,3,3,2,2,4,2,4,3,3,4,3,4,4,3,3,3,2,4,2,2,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,4,5,5,4,4,1,4,4,4,4,5,NA,NA,"phase_017_subj_106"
73,236,3,4,4,3,3,3,4,4,3,4,4,4,3,4,4,5,4,3,4,3,2,1,2,2,2,1,2,4,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,2,3,2,4,2,4,2,3,3,1,NA,NA,"phase_017_subj_56"
74,23,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,2,4,3,4,4,3,4,4,3,1,NA,NA,"phase_017_subj_1"
75,504,4,4,3,3,3,3,3,3,3,4,4,1,1,4,3,4,3,3,4,4,1,2,2,2,1,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,1,4,5,4,5,4,3,1,NA,NA,"phase_017_subj_125"
76,90,3,3,4,3,3,3,4,4,4,4,4,4,2,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,2,4,5,4,4,4,2,NA,NA,"phase_017_subj_22"
77,157,3,3,3,3,4,3,3,4,3,4,4,1,2,4,3,4,3,3,4,4,2,2,2,1,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,1,4,4,5,5,4,3,1,NA,NA,"phase_017_subj_40"
78,448,4,3,4,4,3,3,3,4,3,3,5,4,2,4,4,4,4,5,4,4,1,2,2,1,2,1,2,1,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4,3,3,4,5,1,4,4,5,2,1,NA,NA,"phase_017_subj_108"
79,122,3,4,3,3,3,4,3,4,4,4,4,4,3,4,4,4,4,3,5,4,4,4,1,2,3,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,2,4,1,3,4,4,3,2,NA,NA,"phase_017_subj_34"
80,308,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,3,3,4,4,3,2,3,3,3,3,3,2,3,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,5,3,3,4,3,5,4,5,4,3,3,NA,NA,"phase_017_subj_69"
82,304,4,3,3,4,3,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,3,3,2,3,3,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,3,3,3,1,2,3,3,3,2,NA,NA,"phase_017_subj_68"
83,168,2,2,2,2,2,2,2,1,2,2,2,2,1,3,2,3,2,2,3,2,4,5,4,3,4,4,4,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,4,4,4,4,1,3,4,4,2,1,NA,NA,"phase_017_subj_41"
84,539,4,3,4,4,4,3,4,3,4,4,5,4,4,4,5,5,4,5,5,5,1,1,2,2,1,2,2,4,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,5,1,1,2,1,3,2,2,4,2,1,NA,NA,"phase_017_subj_134"
85,85,3,3,3,4,3,3,4,3,3,3,4,4,4,5,4,4,4,4,4,4,2,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,5,4,2,2,1,4,4,5,4,4,2,NA,NA,"phase_017_subj_21"
86,577,4,3,4,4,4,4,3,4,4,4,4,4,4,4,5,5,5,4,4,4,2,2,2,1,2,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,4,4,2,4,5,4,2,3,NA,NA,"phase_017_subj_141"
88,537,2,1,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,2,2,2,4,5,4,4,4,4,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,4,5,3,4,4,4,5,2,NA,NA,"phase_017_subj_130"
89,90,3,3,3,3,3,3,3,3,2,3,4,2,1,3,2,4,2,1,4,3,2,2,2,3,2,2,2,2,2,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,5,4,4,4,2,NA,4,NA,3,4,3,NA,NA,"phase_017_subj_23"
90,138,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,4,5,4,4,4,4,4,2,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,4,4,2,4,4,4,4,4,4,2,NA,NA,"phase_017_subj_47"
91,65,3,4,3,3,4,3,4,3,3,4,4,4,3,4,4,4,4,4,5,4,2,4,2,2,1,2,1,2,2,1,1,1,1,1,0,1,0,0,1,1,0,0,0,1,4,3,3,2,2,1,2,4,4,2,2,NA,NA,"phase_017_subj_13"
92,170,3,4,3,4,2,3,3,3,4,3,3,2,4,4,4,4,3,4,4,4,2,4,3,4,4,3,4,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,5,2,3,4,3,2,3,2,3,2,NA,NA,"phase_017_subj_43"
94,299,2,2,2,3,2,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,4,4,4,4,3,3,4,2,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,4,5,4,4,3,2,4,4,2,2,NA,NA,"phase_017_subj_67"
95,45,3,4,4,3,3,4,4,3,4,4,3,4,3,4,4,5,3,3,4,4,2,2,2,2,3,3,2,3,2,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,4,2,1,1,1,4,2,3,2,2,2,NA,NA,"phase_017_subj_8"
97,593,4,4,4,3,3,4,4,3,4,4,4,4,5,4,4,5,4,5,5,4,2,2,2,2,1,2,1,1,2,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,4,1,4,2,4,2,4,5,4,3,2,NA,NA,"phase_017_subj_144"
98,340,3,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,2,2,2,2,2,1,2,4,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,4,1,2,1,2,2,4,4,4,5,2,NA,NA,"phase_017_subj_75"
99,43,3,3,3,4,3,4,3,4,4,4,4,5,4,3,4,4,5,4,4,5,4,5,4,4,4,4,4,2,4,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,4,2,3,1,2,5,2,4,2,3,2,NA,NA,"phase_017_subj_7"
100,664,3,3,3,3,3,3,3,3,3,3,4,4,2,3,4,4,4,4,4,4,4,4,3,4,4,3,4,2,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,4,2,2,4,3,2,4,3,4,4,4,NA,NA,"phase_017_subj_156"
101,32,4,3,4,4,3,4,3,4,4,4,5,5,4,4,5,4,4,4,4,5,1,2,2,2,1,1,2,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,5,1,3,1,1,4,4,3,4,1,2,NA,NA,"phase_017_subj_5"
103,401,3,3,3,3,3,3,3,2,3,4,4,2,2,2,3,4,3,3,4,2,2,4,3,2,4,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,3,2,1,2,4,4,3,2,NA,NA,"phase_017_subj_99"
105,226,3,3,3,3,4,4,3,1,3,4,4,4,2,3,4,4,3,3,4,3,2,2,2,2,3,2,3,3,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,5,4,4,3,4,1,4,4,2,2,2,NA,NA,"phase_017_subj_53"
106,74,2,3,4,3,3,3,2,4,4,4,3,5,4,4,3,2,4,3,4,4,1,2,3,2,2,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,4,2,NA,3,1,1,4,2,NA,NA,"phase_017_subj_16"
107,490,3,3,4,3,3,3,3,4,4,4,4,4,3,4,4,4,4,4,4,5,4,4,3,3,3,3,4,4,3,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,4,2,4,2,1,2,1,4,2,3,2,NA,NA,"phase_017_subj_122"
108,490,4,3,4,3,4,4,3,4,3,4,4,5,4,5,4,5,4,5,5,4,1,2,2,1,1,1,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,2,2,1,1,2,1,2,2,1,NA,NA,"phase_017_subj_123"
109,598,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,5,5,4,4,4,4,4,4,5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,5,3,4,4,2,4,4,5,4,4,NA,NA,"phase_017_subj_145"
110,65,3,3,3,3,4,4,3,4,4,4,4,4,5,4,5,5,5,5,5,4,4,4,4,4,5,5,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,5,4,NA,4,4,5,1,2,NA,NA,"phase_017_subj_14"
111,377,3,4,3,3,4,3,3,4,4,3,4,4,3,4,4,4,5,4,4,4,2,2,2,1,1,2,4,5,2,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,5,2,3,2,2,NA,4,4,5,4,2,NA,NA,"phase_017_subj_89"
113,119,3,3,4,3,4,4,4,4,4,4,5,4,4,5,4,5,4,4,4,5,1,1,1,1,1,1,2,4,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,5,1,2,2,1,2,4,5,5,4,2,NA,NA,"phase_017_subj_32"
116,454,3,3,3,3,1,3,3,2,3,4,4,2,2,2,3,4,3,2,5,4,2,2,2,1,2,2,1,2,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,4,4,3,4,4,4,3,2,2,3,NA,NA,"phase_017_subj_111"
117,91,3,4,4,3,3,3,3,3,4,4,4,4,3,4,4,4,4,4,5,5,2,1,2,2,2,2,2,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,2,2,3,2,5,3,2,1,3,1,NA,NA,"phase_017_subj_24"
118,686,2,2,4,3,3,2,3,4,4,4,4,4,5,4,4,4,4,4,2,4,1,2,3,2,4,3,2,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4,2,2,3,2,5,1,2,2,NA,3,NA,NA,"phase_017_subj_163"
120,674,4,4,3,3,2,3,3,3,3,3,4,4,3,3,4,4,3,3,4,4,4,4,3,3,3,2,2,3,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,4,4,2,3,4,2,2,3,2,4,NA,NA,"phase_017_subj_160"
121,387,2,2,2,3,2,2,2,3,2,3,3,4,4,2,3,3,3,3,3,4,3,3,2,3,3,2,3,2,4,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,4,4,4,3,4,1,2,4,4,4,3,NA,NA,"phase_017_subj_93"
122,23,2,3,3,3,2,2,2,2,2,2,3,2,2,3,2,3,3,3,4,3,2,3,2,2,3,2,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,4,3,3,3,1,3,2,1,2,2,NA,NA,"phase_017_subj_2"
123,694,2,3,2,2,2,3,4,2,2,2,4,1,3,4,3,4,2,1,3,2,4,4,1,3,2,2,5,3,4,0,1,1,1,0,0,1,0,0,1,1,0,0,0,1,4,5,3,4,4,4,5,3,4,4,5,NA,NA,"phase_017_subj_167"
126,270,3,2,3,3,2,3,3,3,3,3,3,2,2,3,4,3,2,2,4,3,5,4,4,3,4,4,3,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,4,5,2,3,NA,4,3,4,3,2,NA,NA,"phase_017_subj_63"
128,500,3,3,3,3,3,3,3,3,3,3,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,2,2,NA,2,4,3,4,2,NA,NA,"phase_017_subj_124"
129,384,4,4,3,3,3,4,4,4,3,4,5,4,5,4,4,4,4,4,4,3,2,1,1,2,2,2,2,2,2,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,5,3,3,2,2,3,2,4,4,4,2,NA,NA,"phase_017_subj_90"
131,109,3,3,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,3,2,3,3,3,3,3,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,4,2,4,3,2,4,1,4,1,3,1,NA,NA,"phase_017_subj_30"
133,321,3,3,3,3,3,3,3,3,3,3,3,4,4,4,2,4,4,4,4,4,4,3,3,2,2,3,2,2,2,0,1,1,1,1,0,0,0,0,1,1,1,0,1,1,4,4,4,3,4,NA,5,4,4,2,1,NA,NA,"phase_017_subj_71"
136,412,4,4,4,4,4,4,4,4,4,4,5,4,5,5,5,5,5,5,5,5,4,3,3,3,2,2,4,2,2,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,5,1,3,1,1,3,2,4,3,3,4,NA,NA,"phase_017_subj_100"
139,666,4,4,4,4,3,4,4,4,4,4,5,4,3,4,4,5,4,4,5,4,2,1,2,1,1,2,1,4,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,5,3,5,2,1,1,5,4,5,5,2,NA,NA,"phase_017_subj_157"
140,139,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,4,2,2,4,4,3,2,4,4,4,4,NA,NA,"phase_017_subj_38"
141,425,2,3,2,2,2,2,2,1,2,2,2,2,2,3,2,2,2,2,3,2,3,5,4,3,3,4,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,5,4,4,4,1,3,4,4,2,1,NA,NA,"phase_017_subj_102"
142,1058,3,4,3,3,2,4,3,3,4,3,4,4,3,4,3,4,4,3,5,4,1,2,2,2,2,2,1,2,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5,1,2,3,4,2,3,4,2,4,2,NA,NA,"phase_017_subj_91"
143,414,3,3,4,3,4,3,3,4,4,4,4,4,4,4,2,4,4,4,2,4,2,2,2,2,3,2,2,2,2,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,3,2,1,2,2,NA,3,2,3,3,3,NA,NA,"phase_017_subj_101"
