"X","ParticipantID","ses_1","ses_2","ses_3","ses_4","ses_5","ses_6","ses_7","ses_8","ses_9","ses_10","coreself_1","coreself_2","coreself_3","coreself_4","coreself_5","coreself_6","coreself_7","coreself_8","coreself_9","coreself_10","SGPS_1","SGPS_2","SGPS_3","SGPS_4","SGPS_5","SGPS_6","SGPS_7","SGPS_8","SGPS_9","NPI1","NPI2","NPI3","NPI4","NPI5","NPI6","NPI7","NPI8","NPI9","NPI10","NPI11","NPI12","NPI13","NPI14","NPI15","hsns_1","hsns_2","hsns_3","hsns_4","hsns_5","trap1","hsns_6","hsns_7","hsns_8","hsns_9","hsns_10","friend_name","correct_answer","trap1_item","ID"
19,419,4,3,3,3,2,3,3,3,3,3,4,4,3,3,2,4,4,3,4,4,3,4,4,4,4,2,2,3,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,4,4,3,4,2,4,3,4,4,2,"刘",NA,NA,"phase_014_subj_40"
20,416,3,4,4,4,4,3,4,2,4,4,4,5,5,4,4,5,4,5,5,4,2,2,2,2,2,2,3,2,3,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,4,2,3,2,2,1,2,4,4,3,3,"黄",NA,NA,"phase_014_subj_39"
21,437,3,3,4,3,2,3,3,3,4,4,4,3,3,4,4,4,4,4,4,4,2,2,2,2,2,2,2,4,2,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,4,4,3,2,4,5,3,4,4,3,2,"袁",NA,NA,"phase_014_subj_41"
23,155,3,3,4,3,3,3,3,4,3,4,4,4,3,3,4,4,4,4,4,4,2,2,2,1,2,2,2,2,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,4,2,2,1,2,4,3,4,4,2,2,"徐",NA,NA,"phase_014_subj_12"
24,373,3,4,4,3,4,3,4,4,4,4,4,5,5,4,5,4,5,5,5,5,1,1,2,1,2,2,1,5,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,5,1,1,1,2,5,2,4,2,3,1,"王",NA,NA,"phase_014_subj_32"
26,217,4,3,4,4,3,3,3,4,3,4,4,4,2,4,4,4,5,4,4,4,2,1,2,2,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,4,4,5,5,4,4,2,1,"陈",NA,NA,"phase_014_subj_18"
27,148,3,3,4,4,3,3,3,3,3,3,4,3,4,3,4,4,4,3,4,4,4,5,3,3,4,4,4,3,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,3,4,2,3,1,3,4,4,2,2,"郭",NA,NA,"phase_014_subj_11"
28,266,4,4,4,4,3,4,4,3,4,4,5,5,4,1,1,1,4,4,5,5,1,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,5,1,1,2,1,NA,2,1,2,2,1,"张",NA,NA,"phase_014_subj_21"
29,595,3,3,4,3,3,3,3,3,4,3,4,4,4,4,3,4,4,3,4,4,4,4,3,2,3,3,3,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,2,3,2,3,1,2,4,4,3,3,"钟",NA,NA,"phase_014_subj_51"
30,195,3,3,4,4,3,3,3,4,4,4,4,5,5,5,5,5,5,5,4,5,2,1,2,2,1,2,2,4,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,4,1,1,1,1,2,1,1,2,4,2,"王",NA,NA,"phase_014_subj_16"
31,141,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,5,1,5,1,1,1,3,5,3,4,1,"陈",NA,NA,"phase_014_subj_10"
32,388,4,3,4,3,4,4,4,4,4,4,4,4,5,3,3,5,3,3,5,2,3,4,1,1,2,2,1,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,2,3,4,1,5,3,3,2,1,2,"管",NA,NA,"phase_014_subj_36"
34,211,3,4,3,3,3,4,3,3,4,4,4,3,4,4,3,4,3,3,3,4,4,4,4,3,5,3,3,3,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,3,4,4,5,3,4,5,NA,4,5,"陈",NA,NA,"phase_014_subj_17"
35,652,3,3,4,3,3,3,3,4,4,4,4,4,2,3,4,4,4,4,4,4,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,2,2,2,2,NA,3,2,2,1,2,"林",NA,NA,"phase_014_subj_53"
36,460,4,4,4,3,4,3,4,4,4,3,4,4,2,4,4,5,5,4,4,4,4,5,4,4,4,3,4,5,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,5,4,1,4,2,2,4,4,1,2,"张",NA,NA,"phase_014_subj_45"
37,381,4,4,4,3,4,4,3,4,4,4,5,5,5,5,5,5,5,5,5,5,2,2,3,2,3,2,3,4,2,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,4,3,4,5,4,2,3,4,3,1,1,"王",NA,NA,"phase_014_subj_34"
38,391,3,3,4,3,3,4,4,4,4,4,5,4,3,4,4,4,4,3,4,5,2,3,5,4,4,3,2,3,2,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,5,2,2,1,2,5,4,4,4,2,3,"朱",NA,NA,"phase_014_subj_37"
39,133,4,4,4,4,3,3,3,3,4,4,4,4,4,4,5,4,4,3,4,5,2,2,2,1,3,2,2,2,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4,3,2,2,3,5,3,4,2,2,3,"李",NA,NA,"phase_014_subj_8"
40,372,3,3,3,3,3,3,3,2,3,3,4,2,2,4,3,4,3,3,4,3,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,4,3,2,4,1,4,4,4,2,2,"刘",NA,NA,"phase_014_subj_31"
41,102,3,3,4,4,3,3,3,4,3,3,5,2,1,4,4,4,4,2,4,4,2,5,2,5,3,2,2,4,2,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,5,3,5,1,2,4,4,5,5,2,1,"仲",NA,NA,"phase_014_subj_5"
