"","ID","Sex","task_id","screen_id","person","valence","domain","word","math","correct_response","identity","response","responses","rt","correct","con"
"59","phase_016_subj_6","Female","SRET","EW_formal","friend","Negative","ability","拖延","","","","j","yes","1142","","friend_Negative_ability"
"60","phase_016_subj_6","Female","SRET","EW_formal","friend","Negative","morality","恶劣","","","","f","no","723","","friend_Negative_morality"
"61","phase_016_subj_6","Female","SRET","EW_formal","self","Negative","morality","刻薄","","","","f","no","673","","self_Negative_morality"
"62","phase_016_subj_6","Female","SRET","EW_formal","friend","Positive","ability","智慧","","","","j","yes","814","","friend_Positive_ability"
"63","phase_016_subj_6","Female","SRET","EW_formal","self","Negative","ability","毛糙","","","","f","no","831","","self_Negative_ability"
"64","phase_016_subj_6","Female","SRET","EW_formal","friend","Positive","morality","高洁","","","","f","no","1307","","friend_Positive_morality"
"65","phase_016_subj_6","Female","SRET","EW_formal","friend","Positive","ability","沉着","","","","j","yes","907","","friend_Positive_ability"
"66","phase_016_subj_6","Female","SRET","EW_formal","friend","Negative","morality","拜金","","","","f","no","766","","friend_Negative_morality"
"67","phase_016_subj_6","Female","SRET","EW_formal","self","Positive","morality","孝顺","","","","j","yes","915","","self_Positive_morality"
"68","phase_016_subj_6","Female","SRET","EW_formal","self","Positive","morality","守时","","","","j","yes","743","","self_Positive_morality"
"69","phase_016_subj_6","Female","SRET","EW_formal","self","Positive","ability","精干","","","","j","yes","764","","self_Positive_ability"
"70","phase_016_subj_6","Female","SRET","EW_formal","friend","Positive","morality","义气","","","","j","yes","740","","friend_Positive_morality"
"71","phase_016_subj_6","Female","SRET","EW_formal","friend","Negative","morality","低劣","","","","f","no","680","","friend_Negative_morality"
"72","phase_016_subj_6","Female","SRET","EW_formal","friend","Negative","ability","怠惰","","","","f","no","859","","friend_Negative_ability"
"73","phase_016_subj_6","Female","SRET","EW_formal","self","Negative","morality","阴毒","","","","f","no","839","","self_Negative_morality"
"74","phase_016_subj_6","Female","SRET","EW_formal","self","Negative","ability","逞能","","","","f","no","900","","self_Negative_ability"
"75","phase_016_subj_6","Female","SRET","EW_formal","self","Positive","ability","变通","","","","f","no","896","","self_Positive_ability"
"76","phase_016_subj_6","Female","SRET","EW_formal","self","Negative","ability","逞强","","","","j","yes","1124","","self_Negative_ability"
"77","phase_016_subj_6","Female","SRET","EW_formal","friend","Positive","ability","顶事","","","","f","no","1286","","friend_Positive_ability"
"78","phase_016_subj_6","Female","SRET","EW_formal","friend","Positive","ability","博学","","","","j","yes","765","","friend_Positive_ability"
"79","phase_016_subj_6","Female","SRET","EW_formal","friend","Positive","morality","高尚","","","","j","yes","1306","","friend_Positive_morality"
"80","phase_016_subj_6","Female","SRET","EW_formal","self","Positive","morality","正气","","","","j","yes","750","","self_Positive_morality"
"81","phase_016_subj_6","Female","SRET","EW_formal","friend","Negative","morality","淫乱","","","","f","no","829","","friend_Negative_morality"
"82","phase_016_subj_6","Female","SRET","EW_formal","self","Positive","ability","学霸","","","","j","yes","725","","self_Positive_ability"
"83","phase_016_subj_6","Female","SRET","EW_formal","self","Positive","morality","诚信","","","","j","yes","834","","self_Positive_morality"
"84","phase_016_subj_6","Female","SRET","EW_formal","friend","Positive","morality","淡泊","","","","f","no","1313","","friend_Positive_morality"
"85","phase_016_subj_6","Female","SRET","EW_formal","friend","Positive","ability","博识","","","","j","yes","783","","friend_Positive_ability"
"86","phase_016_subj_6","Female","SRET","EW_formal","self","Negative","ability","业余","","","","f","no","1131","","self_Negative_ability"
"87","phase_016_subj_6","Female","SRET","EW_formal","friend","Negative","morality","低俗","","","","f","no","753","","friend_Negative_morality"
"88","phase_016_subj_6","Female","SRET","EW_formal","friend","Positive","morality","素养","","","","j","yes","875","","friend_Positive_morality"
"89","phase_016_subj_6","Female","SRET","EW_formal","self","Positive","ability","主见","","","","j","yes","1211","","self_Positive_ability"
"90","phase_016_subj_6","Female","SRET","EW_formal","self","Negative","ability","缓慢","","","","j","yes","833","","self_Negative_ability"
"91","phase_016_subj_6","Female","SRET_math","math_instructions","","","","","","","","0","","58449","","__"
"92","phase_016_subj_6","Female","SRET","SRET_math_calculate","","","","","12/12= ?","1","","1","1","2082","1","__"
"93","phase_016_subj_6","Female","SRET","SRET_math_calculate","","","","","29-27= ?","2","","2","2","2524","1","__"
"94","phase_016_subj_6","Female","SRET","SRET_math_calculate","","","","","15-10= ?","5","","5","5","2422","1","__"
"95","phase_016_subj_6","Female","SRET","SRET_math_calculate","","","","","1*9= ?","9","","9","9","2375","1","__"
"96","phase_016_subj_6","Female","SRET","SRET_math_calculate","","","","","8/4= ?","2","","2","2","2043","1","__"
"97","phase_016_subj_6","Female","SRET","SRET_math_calculate","","","","","4+4= ?","8","","8","8","2364","1","__"
"98","phase_016_subj_6","Female","SRET","SRET_math_calculate","","","","","43-34= ?","9","","9","9","2863","1","__"
"99","phase_016_subj_6","Female","SRET","SRET_math_calculate","","","","","4*2= ?","8","","8","8","2117","1","__"
"100","phase_016_subj_6","Female","SRET","SRET_math_calculate","","","","","2+4= ?","6","","6","6","2722","1","__"
"101","phase_016_subj_6","Female","SRET","SRET_math_calculate","","","","","9-3= ?","6","","6","6","1975","1","__"
"102","phase_016_subj_6","Female","SRET","SRET_math_calculate","","","","","1+2= ?","3","","3","3","2116","1","__"
"103","phase_016_subj_6","Female","SRET","SRET_math_calculate","","","","","3*3= ?","9","","9","9","2007","1","__"
"104","phase_016_subj_6","Female","SRET","SRET_math_calculate","","","","","21/7=  ?","3","","3","3","2612","1","__"
"105","phase_016_subj_6","Female","SRET","SRET_math_calculate","","","","","12-7= ?","5","","5","5","2481","1","__"
"106","phase_016_subj_6","Female","SRET","SRET_math_calculate","","","","","8*1= ?","8","","8","8","2120","1","__"
"107","phase_016_subj_6","Female","SRET","SRET_math_calculate","","","","","5+2= ?","7","","7","7","2009","1","__"
"108","phase_016_subj_6","Female","SRET","SRET_math_calculate","","","","","9-2= ?","7","","7","7","1818","1","__"
"109","phase_016_subj_6","Female","SRET","SRET_math_calculate","","","","","4/4= ?","1","","1","1","1901","1","__"
"110","phase_016_subj_6","Female","SRET","SRET_math_calculate","","","","","19-17= ?","2","","2","2","2066","1","__"
"111","phase_016_subj_6","Female","SRET","SRET_math_calculate","","","","","5+1= ?","6","","6","6","2257","1","__"
"112","phase_016_subj_6","Female","SRET","SRET_math_calculate","","","","","3+5= ?","8","","8","8","2351","1","__"
"113","phase_016_subj_6","Female","SRET","SRET_math_calculate","","","","","32-23= ?","9","","9","9","2756","1","__"
"114","phase_016_subj_6","Female","SRET","SRET_math_calculate","","","","","3+4= ?","7","","7","7","2180","1","__"
"115","phase_016_subj_6","Female","SRET","SRET_math_calculate","","","","","30-29= ?","1","","1","1","2620","1","__"
"116","phase_016_subj_6","Female","SRET","SRET_math_calculate","","","","","18/9= ?","2","","2","2","2056","1","__"
"117","phase_016_subj_6","Female","SRET","SRET_math_calculate","","","","","13-5= ?","8","","8","8","5637","1","__"
"118","phase_016_subj_6","Female","SRET","SRET_math_calculate","","","","","4+2= ?","6","","6","6","2574","1","__"
"119","phase_016_subj_6","Female","SRET","SRET_math_calculate","","","","","1*8= ?","8","","8","8","2366","1","__"
"120","phase_016_subj_6","Female","SRET","SRET_math_calculate","","","","","12/6= ?","2","","2","2","2563","1","__"
"121","phase_016_subj_6","Female","SRET","SRET_math_calculate","","","","","5/1= ?","5","","5","5","2035","1","__"
"122","phase_016_subj_6","Female","SRET","SRET_math_calculate","","","","","12/4= ?","3","","3","3","2537","1","__"
"123","phase_016_subj_6","Female","SRET","SRET_math_calculate","","","","","4+1= ?","5","","5","5","2251","1","__"
"124","phase_016_subj_6","Female","SRET","SRET_math_calculate","","","","","9-7= ?","2","","2","2","2224","1","__"
"125","phase_016_subj_6","Female","SRET","SRET_math_calculate","","","","","50-42= ?","8","","8","8","2884","1","__"
"126","phase_016_subj_6","Female","SRET","SRET_math_calculate","","","","","2+5= ?","7","","7","7","2144","1","__"
"127","phase_016_subj_6","Female","SRET","SRET_math_calculate","","","","","9-1= ?","8","","8","8","2730","1","__"
"128","phase_016_subj_6","Female","SRET","SRET_math_calculate","","","","","8+1= ?","9","","9","9","2030","1","__"
"129","phase_016_subj_6","Female","SRET","SRET_math_calculate","","","","","9-9= ?","0","","0","0","2182","1","__"
"130","phase_016_subj_6","Female","SRET","SRET_math_calculate","","","","","3+6= ?","9","","9","9","1926","1","__"
"131","phase_016_subj_6","Female","SRET","SRET_math_calculate","","","","","5-3= ?","2","","2","2","2110","1","__"
"132","phase_016_subj_6","Female","SRET","SRET_math_calculate","","","","","7+2= ?","9","","9","9","1867","1","__"
"133","phase_016_subj_6","Female","SRET","SRET_math_calculate","","","","","10-5= ?","5","","5","5","2199","1","__"
"134","phase_016_subj_6","Female","SRET","SRET_math_calculate","","","","","6*0= ?","0","","0","0","2225","1","__"
"135","phase_016_subj_6","Female","SRET","SRET_math_calculate","","","","","21/3= ? ","7","","7","7","3084","1","__"
"136","phase_016_subj_6","Female","SRET","SRET_math_calculate","","","","","4+5= ?","9","","9","9","2108","1","__"
"137","phase_016_subj_6","Female","SRET","SRET_math_calculate","","","","","6+3= ?","9","","9","9","1783","1","__"
"138","phase_016_subj_6","Female","SRET","SRET_math_calculate","","","","","13-9= ?","4","","4","4","3192","1","__"
"139","phase_016_subj_6","Female","SRET","SRET_math_calculate","","","","","5+3= ?","8","","8","8","1954","1","__"
"140","phase_016_subj_6","Female","SRET","SRET_math_calculate","","","","","20/5= ?","4","","3","3","2440","0","__"
"141","phase_016_subj_6","Female","SRET","SRET_math_calculate","","","","","3+0= ?","3","","3","3","2563","1","__"
"142","phase_016_subj_6","Female","SRET","SRET_math_calculate","","","","","11-4= ?","7","","7","7","3334","1","__"
"143","phase_016_subj_6","Female","SRET","SRET_math_calculate","","","","","9-4= ?","5","","5","5","2075","1","__"
"144","phase_016_subj_6","Female","SRET","SRET_math_calculate","","","","","2+2= ?","4","","4","4","2320","1","__"
"145","phase_016_subj_6","Female","SRET","SRET_math_calculate","","","","","11-5= ?","6","","6","6","2354","1","__"
"146","phase_016_subj_6","Female","SRET","SRET_math_calculate","","","","","8-5= ?","3","","3","3","2477","1","__"
"147","phase_016_subj_6","Female","SRET","SRET_math_calculate","","","","","3+3= ?","6","","6","6","2041","1","__"
"148","phase_016_subj_6","Female","SRET","SRET_math_calculate","","","","","3*2= ?","6","","6","6","2025","1","__"
"149","phase_016_subj_6","Female","SRET","SRET_math_calculate","","","","","11-8= ?","3","","3","3","2465","1","__"
"150","phase_016_subj_6","Female","SRET","SRET_math_calculate","","","","","1+6= ?","7","","7","7","1944","1","__"
"151","phase_016_subj_6","Female","SRET","SRET_math_calculate","","","","","2+1= ?","3","","3","3","2187","1","__"
"152","phase_016_subj_6","Female","SRET","SRET_math_calculate","","","","","12-5= ?","7","","7","7","3454","1","__"
"153","phase_016_subj_6","Female","SRET","SRET_math_calculate","","","","","22-22= ?","0","","0","0","2360","1","__"
"154","phase_016_subj_6","Female","SRET","SRET_math_calculate","","","","","56/7= ?","8","","8","8","2521","1","__"
"155","phase_016_subj_6","Female","SRET","SRET_math_calculate","","","","","7*1=  ?","7","","7","7","1910","1","__"
"156","phase_016_subj_6","Female","SRET","SRET_math_calculate","","","","","2+6= ?","8","","8","8","2097","1","__"
"157","phase_016_subj_6","Female","SRET","SRET_math_calculate","","","","","7*0= ?","0","","0","0","2067","1","__"
"158","phase_016_subj_6","Female","SRET","SRET_math_calculate","","","","","4*1= ?","4","","4","4","2256","1","__"
"159","phase_016_subj_6","Female","SRET","SRET_math_calculate","","","","","81/9= ?","9","","9","9","1965","1","__"
"160","phase_016_subj_6","Female","SRET","SRET_math_calculate","","","","","6+1= ?","7","","7","7","2140","1","__"
"161","phase_016_subj_6","Female","SRET","SRET_math_calculate","","","","","1+1= ?","2","","2","2","1894","1","__"
"162","phase_016_subj_6","Female","SRET","SRET_math_calculate","","","","","2+7= ?","9","","9","9","1977","1","__"
"163","phase_016_subj_6","Female","SRET","SRET_math_calculate","","","","","1+7= ?","8","","8","8","1881","1","__"
"164","phase_016_subj_6","Female","SRET","SRET_math_calculate","","","","","9-6= ?","3","","3","3","2625","1","__"
"165","phase_016_subj_6","Female","SRET","SRET_math_calculate","","","","","2*3= ?","6","","6","6","2625","1","__"
"166","phase_016_subj_6","Female","SRET","SRET_math_calculate","","","","","2*4= ?","8","","","","","0","__"
"167","phase_016_subj_6","Female","SRET_RJ","RJ_instruct_practice","","","","","","","","","","58884","","__"
"168","phase_016_subj_6","Female","SRET","RJ_formal1","friend","Negative","morality","可鄙","","","new","1","new","62298","1","friend_Negative_morality"
"169","phase_016_subj_6","Female","SRET","RJ_formal1","friend","Negative","ability","白痴","","","new","1","new","893","1","friend_Negative_ability"
"170","phase_016_subj_6","Female","SRET","RJ_formal1","self","Positive","morality","忠实","","","old","3","old","1106","1","self_Positive_morality"
"171","phase_016_subj_6","Female","SRET","RJ_formal_2","","Positive","morality","忠实","","","self","j","self","2605","1","_Positive_morality"
"172","phase_016_subj_6","Female","SRET","RJ_formal1","self","Negative","morality","徇私","","","old","3","old","1379","1","self_Negative_morality"
"173","phase_016_subj_6","Female","SRET","RJ_formal_2","","Negative","morality","徇私","","","self","f","friend","1540","0","_Negative_morality"
"174","phase_016_subj_6","Female","SRET","RJ_formal1","self","Positive","ability","严谨","","","old","3","old","1119","1","self_Positive_ability"
"175","phase_016_subj_6","Female","SRET","RJ_formal_2","","Positive","ability","严谨","","","self","j","self","624","1","_Positive_ability"
"176","phase_016_subj_6","Female","SRET","RJ_formal1","self","Negative","ability","刻板","","","old","3","old","1261","1","self_Negative_ability"
"177","phase_016_subj_6","Female","SRET","RJ_formal_2","","Negative","ability","刻板","","","self","f","friend","2345","0","_Negative_ability"
"178","phase_016_subj_6","Female","SRET","RJ_formal1","friend","Positive","ability","认真","","","new","1","new","2643","1","friend_Positive_ability"
"179","phase_016_subj_6","Female","SRET_RJ","RJ_instruct","","","","","","","","","","23899","","__"
"180","phase_016_subj_6","Female","SRET","RJ_formal1","friend","Negative","ability","昏庸","","","old","3","old","1730","1","friend_Negative_ability"
"181","phase_016_subj_6","Female","SRET","RJ_formal_2","","Negative","ability","昏庸","","","friend","f","friend","1272","1","_Negative_ability"
"182","phase_016_subj_6","Female","SRET","RJ_formal1",NA,"Negative","ability","愚钝","","","new","3","old","1255","0","NA_Negative_ability"
"183","phase_016_subj_6","Female","SRET","RJ_formal_2","","Negative","ability","愚钝","","",NA,"j","self","2030",NA,"_Negative_ability"
"184","phase_016_subj_6","Female","SRET","RJ_formal1","self","Positive","morality","仁厚","","","old","2","familiar","1989","1","self_Positive_morality"
"185","phase_016_subj_6","Female","SRET","RJ_formal_2","","Positive","morality","仁厚","","","self","f","friend","2897","0","_Positive_morality"
"186","phase_016_subj_6","Female","SRET","RJ_formal1",NA,"Positive","morality","好心","","","new","1","new","1467","1","NA_Positive_morality"
"187","phase_016_subj_6","Female","SRET","RJ_formal1",NA,"Positive","ability","无敌","","","new","1","new","960","1","NA_Positive_ability"
"188","phase_016_subj_6","Female","SRET","RJ_formal1",NA,"Positive","morality","文明","","","new","1","new","2007","1","NA_Positive_morality"
"189","phase_016_subj_6","Female","SRET","RJ_formal1","self","Positive","morality","慷慨","","","old","3","old","1980","1","self_Positive_morality"
"190","phase_016_subj_6","Female","SRET","RJ_formal_2","","Positive","morality","慷慨","","","self","j","self","1470","1","_Positive_morality"
"191","phase_016_subj_6","Female","SRET","RJ_formal1","self","Positive","ability","学霸","","","old","3","old","974","1","self_Positive_ability"
"192","phase_016_subj_6","Female","SRET","RJ_formal_2","","Positive","ability","学霸","","","self","j","self","886","1","_Positive_ability"
"193","phase_016_subj_6","Female","SRET","RJ_formal1",NA,"Negative","ability","马虎","","","new","1","new","2458","1","NA_Negative_ability"
"194","phase_016_subj_6","Female","SRET","RJ_formal1",NA,"Positive","morality","仗义","","","new","1","new","874","1","NA_Positive_morality"
"195","phase_016_subj_6","Female","SRET","RJ_formal1",NA,"Positive","morality","忠诚","","","new","3","old","869","0","NA_Positive_morality"
"196","phase_016_subj_6","Female","SRET","RJ_formal_2","","Positive","morality","忠诚","","",NA,"j","self","870",NA,"_Positive_morality"
"197","phase_016_subj_6","Female","SRET","RJ_formal1",NA,"Positive","morality","爱国","","","new","1","new","811","1","NA_Positive_morality"
"198","phase_016_subj_6","Female","SRET","RJ_formal1",NA,"Negative","morality","虚假","","","new","1","new","1070","1","NA_Negative_morality"
"199","phase_016_subj_6","Female","SRET","RJ_formal1",NA,"Negative","morality","小人","","","new","1","new","1017","1","NA_Negative_morality"
"200","phase_016_subj_6","Female","SRET","RJ_formal1","self","Positive","ability","思辨","","","old","3","old","1006","1","self_Positive_ability"
"201","phase_016_subj_6","Female","SRET","RJ_formal_2","","Positive","ability","思辨","","","self","f","friend","1341","0","_Positive_ability"
"202","phase_016_subj_6","Female","SRET","RJ_formal1",NA,"Negative","morality","狡狯","","","new","1","new","979","1","NA_Negative_morality"
"203","phase_016_subj_6","Female","SRET","RJ_formal1","friend","Negative","morality","蛇蝎","","","old","3","old","1735","1","friend_Negative_morality"
"204","phase_016_subj_6","Female","SRET","RJ_formal1",NA,"Positive","morality","宽容","","","new","2","familiar","4221","0","NA_Positive_morality"
"205","phase_016_subj_6","Female","SRET","RJ_formal_2","","Positive","morality","宽容","","",NA,"f","friend","2539",NA,"_Positive_morality"
"206","phase_016_subj_6","Female","SRET","RJ_formal1",NA,"Positive","ability","扎实","","","new","1","new","1068","1","NA_Positive_ability"
"207","phase_016_subj_6","Female","SRET","RJ_formal1",NA,"Negative","ability","浅薄","","","new","1","new","863","1","NA_Negative_ability"
"208","phase_016_subj_6","Female","SRET","RJ_formal1","self","Positive","ability","能干","","","old","3","old","886","1","self_Positive_ability"
"209","phase_016_subj_6","Female","SRET","RJ_formal_2","","Positive","ability","能干","","","self","j","self","655","1","_Positive_ability"
"210","phase_016_subj_6","Female","SRET","RJ_formal1","self","Negative","morality","刻薄","","","old","3","old","1229","1","self_Negative_morality"
"211","phase_016_subj_6","Female","SRET","RJ_formal_2","","Negative","morality","刻薄","","","self","j","self","2618","1","_Negative_morality"
"212","phase_016_subj_6","Female","SRET","RJ_formal1","self","Positive","ability","肯干","","","old","3","old","1113","1","self_Positive_ability"
"213","phase_016_subj_6","Female","SRET","RJ_formal_2","","Positive","ability","肯干","","","self","j","self","445","1","_Positive_ability"
"214","phase_016_subj_6","Female","SRET","RJ_formal1",NA,"Positive","ability","坚持","","","new","2","familiar","1620","0","NA_Positive_ability"
"215","phase_016_subj_6","Female","SRET","RJ_formal_2","","Positive","ability","坚持","","",NA,"j","self","1589",NA,"_Positive_ability"
"216","phase_016_subj_6","Female","SRET","RJ_formal1","friend","Negative","morality","拜金","","","old","3","old","1527","1","friend_Negative_morality"
"217","phase_016_subj_6","Female","SRET","RJ_formal1","self","Positive","ability","细心","","","old","3","old","3304","1","self_Positive_ability"
"218","phase_016_subj_6","Female","SRET","RJ_formal_2","","Positive","ability","细心","","","self","j","self","2347","1","_Positive_ability"
"219","phase_016_subj_6","Female","SRET","RJ_formal1",NA,"Positive","morality","无私","","","new","2","familiar","1967","0","NA_Positive_morality"
"220","phase_016_subj_6","Female","SRET","RJ_formal_2","","Positive","morality","无私","","",NA,"f","friend","2470",NA,"_Positive_morality"
"221","phase_016_subj_6","Female","SRET","RJ_formal1","friend","Negative","ability","拖延","","","old","3","old","1206","1","friend_Negative_ability"
"222","phase_016_subj_6","Female","SRET","RJ_formal_2","","Negative","ability","拖延","","","friend","f","friend","1015","1","_Negative_ability"
"223","phase_016_subj_6","Female","SRET","RJ_formal1","self","Negative","morality","背叛","","","old","3","old","1661","1","self_Negative_morality"
"224","phase_016_subj_6","Female","SRET","RJ_formal_2","","Negative","morality","背叛","","","self","j","self","1301","1","_Negative_morality"
"225","phase_016_subj_6","Female","SRET","RJ_formal1","self","Positive","morality","勤恳","","","old","2","familiar","4053","1","self_Positive_morality"
"226","phase_016_subj_6","Female","SRET","RJ_formal_2","","Positive","morality","勤恳","","","self","f","friend","3584","0","_Positive_morality"
"227","phase_016_subj_6","Female","SRET","RJ_formal1",NA,"Negative","morality","虚伪","","","new","2","familiar","2356","0","NA_Negative_morality"
"228","phase_016_subj_6","Female","SRET","RJ_formal_2","","Negative","morality","虚伪","","",NA,"f","friend","5923",NA,"_Negative_morality"
"229","phase_016_subj_6","Female","SRET","RJ_formal1",NA,"Negative","morality","偏私","","","new","1","new","1366","1","NA_Negative_morality"
"230","phase_016_subj_6","Female","SRET","RJ_formal1","self","Positive","ability","聪明","","","old","3","old","726","1","self_Positive_ability"
