Num,UserId,Subject IDs,Subject Name,Time,Duration,Source,Source Details,IP,NodeId,Node,Env_Q1,Env_Q2,Env_Q3,Env_Q4,Env_Q5,NodeId,Node,Env_Q1,Env_Q2_item1,Env_Q2_item2,Env_Q2_item3,Env_Q2_item4,Env_Q3,Env_Q4,Env_Q5,Env_Q6,Env_Q7,Env_Q8,Env_Q9,Env_Q10,
10,	572562214427295744,	803655761497690114,	只打雷不下雨,	2024-01-27 17:01:25,1小时21秒,WEB,直接访问,117.136.63.74,	803643024289701890,测试环境,是,是,是,是,是,	803643024637829123,问题反馈,是,词汇分类 (自我一他人；积极一消极),-888,-888,-888,F.一年内,A.一切正常,是,-999,A.我没有受到任何干扰,-999,-999,，考察个人的集中注意力和瞬间反应力，身体和脑子的协调性	,
11,	799015908117979137,	803656911680577538,	用户43429,	2024-01-27 17:14:58,1小时8分57秒,WEB,直接访问,120.225.24.231,	803643024289701890,测试环境,是,是,是,是,是,	803643024637829123,问题反馈,否,-888,-888,类似的问卷调查,-888,F.一年内,A.一切正常,是,-999,A.我没有受到任何干扰,-999,-999,不知道	,
12,	689594271669420032,	803668313279438850,	黑天,	2024-01-27 17:58:29,1小时7分32秒,WEB,直接访问,101.30.127.156,	803643024289701890,测试环境,是,是,是,是,是,	803643024637829123,问题反馈,是,词汇分类 (自我一他人；积极一消极),-888,类似的问卷调查,-888,C.一个月内,A.一切正常,是,-999,A.我没有受到任何干扰,-999,无	,词汇分类任务和问卷调查可能涉及对自我以及自身能力的认识	,
13,	598865314549071872,	803669136394948609,	SDASD,	2024-01-27 17:52:44,58分31秒,WEB,直接访问,36.139.195.35,	803643024289701890,测试环境,是,是,是,是,是,	803643024637829123,问题反馈,否,-888,-888,-888,从无,A.一周内,A.一切正常,是,-999,A.我没有受到任何干扰,-999,无	,想看人对自我的评价	,
14,	790000811211104258,	803684195858784257,	用户42088,	2024-01-27 18:49:16,55分13秒,WEB,直接访问,112.112.46.250,	803643024289701890,测试环境,是,是,是,是,是,	803643024637829123,问题反馈,是,-888,图形匹配 (图形一文字标签),-888,-888,E.半年内,A.一切正常,是,-999,A.我没有受到任何干扰,-999,无	,反应力	,
15,	677293882131611648,	803697531195367426,	青山渐远,	2024-01-27 19:54:32,1小时7分29秒,WEB,直接访问,115.150.56.17,	803643024289701890,测试环境,是,是,是,是,是,	803643024637829123,问题反馈,否,-888,-888,-888,从无,F.一年内,A.一切正常,是,-999,A.我没有受到任何干扰,-999,无	,探究实验人员的短期记忆能力	,
16,	634716408718032896,	803698756276195329,	可东,	2024-01-27 19:52:31,1小时36秒,WEB,直接访问,218.60.118.214,	803643024289701890,测试环境,是,是,是,是,是,	803643024637829123,问题反馈,否,-888,-888,-888,从无,F.一年内,A.一切正常,是,-999,A.我没有受到任何干扰,-999,无	,实验人对自己和他人的看法	,
17,	801783599631310849,	803700012247818242,	肆柒,	2024-01-27 19:45:14,48分20秒,WEB,直接访问,110.187.139.120,	803643024289701890,测试环境,是,是,是,是,是,	803643024637829123,问题反馈,是,-888,-888,类似的问卷调查,-888,F.一年内,A.一切正常,是,-999,A.我没有受到任何干扰,-999,暂时没有捏	,测量人的自我评价或者自尊？	,
18,	718592959586500608,	803701648198471681,	醍醐,	2024-01-27 20:02:41,59分17秒,WEB,直接访问,60.217.78.136,	803643024289701890,测试环境,是,是,是,是,是,	803643024637829123,问题反馈,否,-888,-888,-888,从无,A.一周内,A.一切正常,是,-999,A.我没有受到任何干扰,-999,无	,看不同对象的反应力	,
19,	799738310078636033,	803703487992045570,	怎么回事,	2024-01-27 20:10:26,59分43秒,WEB,直接访问,39.144.135.39,	803643024289701890,测试环境,是,是,是,是,是,	803643024637829123,问题反馈,否,-888,-888,-888,从无,-999,A.一切正常,是,-999,A.我没有受到任何干扰,-999,太快了	,了解人类对自我的认知机制	,
20,	769498068633784321,	803712890795462658,	路漫漫,	2024-01-27 20:43:29,55分24秒,WEB,直接访问,14.150.128.30,	803643024289701890,测试环境,是,是,是,是,是,	803643024637829123,问题反馈,否,-888,-888,-888,从无,F.一年内,A.一切正常,是,-999,A.我没有受到任何干扰,-999,无	,专注度以及重复性内容顺序换了是否能记住	,
21,	796359969116135425,	803712942062313474,	黎兴,	2024-01-27 20:56:44,1小时8分27秒,WEB,直接访问,117.181.60.201,	803643024289701890,测试环境,是,是,是,是,是,	803643024637829123,问题反馈,否,-888,-888,-888,从无,F.一年内,A.一切正常,是,-999,A.我没有受到任何干扰,-999,完善实验反馈操作，非必填的题目不小心点到了现在取消不了。	,测试人们对分类匹配的学习适应的能力。	,
22,	803360750616846338,	803714806619185153,	用户44427,	2024-01-27 21:09:14,1小时13分32秒,WEB,直接访问,117.151.96.233,	803643024289701890,测试环境,是,是,是,是,是,	803643024637829123,问题反馈,否,-888,-888,-888,从无,-999,A.一切正常,是,-999,A.我没有受到任何干扰,-999,可以适当调整一下实验内容的重复度和实验者的接受程度	,调查实验者在长时间的记忆测试中的专注度与准确度	,
23,	634653479763181568,	803718273039474689,	一叶,	2024-01-27 21:11:15,1小时1分47秒,WEB,直接访问,42.180.52.65,	803643024289701890,测试环境,是,是,是,是,是,	803643024637829123,问题反馈,否,-888,-888,-888,从无,A.一周内,A.一切正常,是,-999,A.我没有受到任何干扰,-999,无	,判断力以及反应力的实验	,
24,	802285339656986625,	803733803871903745,	日文,	2024-01-27 22:09:16,58分5秒,WEB,直接访问,211.90.89.74,	803643024289701890,测试环境,是,是,是,是,是,	803643024637829123,问题反馈,是,-888,-888,类似的问卷调查,-888,A.一周内,A.一切正常,是,-999,A.我没有受到任何干扰,-999,-999,测试人的刺激反应能力	,
25,	688842330605617152,	803750563534741505,	小陈陈,	2024-01-27 23:23:02,1小时5分15秒,WEB,直接访问,39.128.249.105,	803643024289701890,测试环境,是,是,是,是,是,	803643024637829123,问题反馈,否,-888,-888,-888,从无,-999,A.一切正常,是,-999,A.我没有受到任何干扰,-999,-999,感觉有点像是在测试我的反应能力和注意力	,
26,	723128810265903104,	803755197301264385,	wcn_psy,	2024-01-27 23:47:32,1小时11分20秒,WEB,直接访问,111.43.123.4,	803643024289701890,测试环境,是,是,是,是,是,	803643024637829123,问题反馈,是,词汇分类 (自我一他人；积极一消极),图形匹配 (图形一文字标签),-888,-888,B.半个月内,A.一切正常,是,-999,A.我没有受到任何干扰,-999,-999,测试反应速度	,
27,	688788853804236800,	803770441310281729,	cccs,	2024-01-28 00:42:33,1小时5分47秒,WEB,直接访问,106.61.117.181,	803643024289701890,测试环境,是,是,是,是,是,	803643024637829123,问题反馈,否,-888,-888,-888,从无,-999,A.一切正常,是,-999,A.我没有受到任何干扰,-999,-999,通过问卷和实验判断我的性格	,
28,	792736654921179138,	803984811076358145,	用户42778,	2024-01-28 14:51:26,1小时2分50秒,WEB,直接访问,113.240.253.139,	803643024289701890,测试环境,是,是,是,是,是,	803643024637829123,问题反馈,否,-888,-888,-888,从无,F.一年内,A.一切正常,是,-999,A.我没有受到任何干扰,-999,实验设置的很有意思，就是觉得题量有点过多，总的来说很好的锻炼和测试了自己的反应还有匹配能力。	,测试大家的反应速度还有图形匹配能力。	,
29,	718982212988436480,	803984971437182977,	26,	2024-01-28 15:03:02,1小时13分48秒,WEB,直接访问,211.142.17.195,	803643024289701890,测试环境,是,是,是,是,是,	803643024637829123,问题反馈,否,-888,-888,-888,从无,F.一年内,A.一切正常,是,-999,A.我没有受到任何干扰,-999,-999,测试认知以及注意力	,
30,	572507279396438016,	803992710934695937,	桑植,	2024-01-28 15:27:48,1小时7分49秒,WEB,直接访问,123.138.228.97,	803643024289701890,测试环境,是,是,是,是,是,	803643024637829123,问题反馈,否,-888,-888,-888,从无,F.一年内,A.一切正常,是,-999,A.我没有受到任何干扰,-999,无	,检测人们的反映快慢	,
31,	802197026057101313,	804003307822780417,	用户44224,	2024-01-28 16:04:26,1小时2分20秒,WEB,直接访问,113.240.253.139,	803643024289701890,测试环境,是,是,是,是,是,	803643024637829123,问题反馈,否,-888,-888,-888,从无,F.一年内,A.一切正常,是,-999,A.我没有受到任何干扰,-999,整个实验挺有趣，能很好的测试本人相关能力，也能让我有很好的认知。	,研究被试者的反应速度，以及整个灵活变通能力。	,
32,	776954102012973057,	804014009912397825,	望,	2024-01-28 16:50:21,1小时5分44秒,WEB,直接访问,171.111.179.118,	803643024289701890,测试环境,是,是,是,是,是,	803643024637829123,问题反馈,是,-888,-888,类似的问卷调查,-888,E.半年内,A.一切正常,是,-999,A.我没有受到任何干扰,-999,测试内容可以增加一些可供被试选择的个性化内容	,测试不同被试者反应速度。	,
33,	572507877353193472,	804014499379159041,	sponsor,	2024-01-28 16:37:17,50分43秒,WEB,直接访问,223.104.205.129,	803643024289701890,测试环境,是,是,是,是,是,	803643024637829123,问题反馈,否,-888,-888,-888,从无,F.一年内,A.一切正常,是,-999,A.我没有受到任何干扰,-999,图片和名称对应那块，闪现的太快，容易晃眼睛，有好几次都没来得及看清楚	,测试是否能迅速将名称和图形对应	,
34,	798586383785664514,	804016692341772290,	用户43371,	2024-01-28 16:51:17,56分,WEB,直接访问,120.230.27.150,	803643024289701890,测试环境,是,是,是,是,是,	803643024637829123,问题反馈,是,词汇分类 (自我一他人；积极一消极),-888,-888,-888,F.一年内,A.一切正常,是,-999,A.我没有受到任何干扰,-999,无	,人们对词汇和图形的敏感性以及反应速度	,
35,	798898667061911554,	804078698516062210,	用户43405,	2024-01-28 20:48:19,46分39秒,WEB,直接访问,120.230.27.150,	803643024289701890,测试环境,是,是,是,是,是,	803643024637829123,问题反馈,是,-888,图形匹配 (图形一文字标签),-888,-888,D.三个月内,A.一切正常,是,-999,A.我没有受到任何干扰,-999,无	,人们对图形以及词汇的反应能力	,
36,	789952361161433089,	804271778603081730,	照旧,	2024-01-29 09:46:59,58分5秒,WEB,直接访问,118.122.117.236,	803643024289701890,测试环境,是,是,是,是,是,	803643024637829123,问题反馈,否,-888,-888,-888,从无,F.一年内,A.一切正常,是,-999,A.我没有受到任何干扰,-999,无	,注意力集中测试	,
37,	800009629605175298,	804344273360265217,	用户43819,	2024-01-29 14:59:40,1小时22分42秒,WEB,直接访问,183.162.192.189,	803643024289701890,测试环境,是,是,是,是,是,	803643024637829123,问题反馈,是,词汇分类 (自我一他人；积极一消极),-888,-888,-888,B.半个月内,A.一切正常,是,-999,B.我受到他人干扰,有人过来聊天，测试刚刚开始的阶段	,-999,积极与消极情绪对注意力的影响，与抑郁症相关？	,
38,	803273008734150658,	804353000452792321,	森柱,	2024-01-29 15:00:13,48分34秒,WEB,直接访问,36.134.127.131,	803643024289701890,测试环境,是,是,是,是,是,	803643024637829123,问题反馈,是,词汇分类 (自我一他人；积极一消极),-888,-888,-888,D.三个月内,A.一切正常,是,-999,A.我没有受到任何干扰,-999,无	,疲劳度测试	,
39,	793060622811144193,	804365987079262210,	柯炫,	2024-01-29 15:53:35,50分8秒,WEB,直接访问,58.144.198.67,	803643024289701890,测试环境,是,是,是,是,是,	803643024637829123,问题反馈,是,词汇分类 (自我一他人；积极一消极),-888,-888,-888,C.一个月内,A.一切正常,是,-999,A.我没有受到任何干扰,-999,没有	,心理负荷量	,
40,	790214171080925186,	804379481208000514,	绍霖,	2024-01-29 16:44:36,47分44秒,WEB,直接访问,60.167.182.235,	803643024289701890,测试环境,是,是,是,是,是,	803643024637829123,问题反馈,是,词汇分类 (自我一他人；积极一消极),-888,-888,-888,D.三个月内,A.一切正常,是,-999,A.我没有受到任何干扰,-999,无	,注意力	,
41,	790191134524710914,	804392084823085058,	宇昊,	2024-01-29 17:34:23,47分26秒,WEB,直接访问,27.148.147.8,	803643024289701890,测试环境,是,是,是,是,是,	803643024637829123,问题反馈,是,词汇分类 (自我一他人；积极一消极),-888,-888,-888,C.一个月内,A.一切正常,是,-999,A.我没有受到任何干扰,-999,没有	,专注力考验	,
42,	779748154852773890,	804470421209620482,	大鱼,	2024-01-29 22:48:13,49分59秒,WEB,直接访问,120.229.5.209,	803643024289701890,测试环境,是,是,是,是,是,	803643024637829123,问题反馈,否,-888,-888,-888,从无,F.一年内,A.一切正常,是,-999,A.我没有受到任何干扰,-999,-999,记忆力考察	,
43,	772080972635312129,	804757353571553281,	米修,	2024-01-30 18:19:10,1小时20分46秒,WEB,直接访问,116.169.7.250,	803643024289701890,测试环境,是,是,是,是,是,	803643024637829123,问题反馈,否,-888,-888,-888,从无,F.一年内,A.一切正常,是,-999,A.我没有受到任何干扰,-999,无	,可能是去判断一个人的性格与家庭，人际关系之间是不是存在联系吧，图形和词汇是考验认知和反应能力的。	,
44,	751465309353021442,	804763634055127042,	用户33320,	2024-01-30 18:55:23,1小时32分1秒,WEB,直接访问,36.142.149.222,	803643024289701890,测试环境,是,是,是,是,是,	803643024637829123,问题反馈,否,-888,-888,-888,从无,F.一年内,A.一切正常,是,-999,A.我没有受到任何干扰,-999,无	,研究反应迅速程度与实验进行时间的关系	,
45,	784384274496491522,	804805597718646785,	阿楠,	2024-01-30 21:08:04,57分57秒,WEB,直接访问,49.5.129.177,	803643024289701890,测试环境,是,是,是,是,是,	803643024637829123,问题反馈,否,-888,-888,-888,从无,F.一年内,A.一切正常,是,-999,A.我没有受到任何干扰,-999,-999,对于文字和图片的反应速度测试	,
46,	661494086074630144,	805198089744027650,	哈哈啊哈哈,	2024-01-31 23:04:33,54分49秒,WEB,直接访问,106.42.168.9,	803643024289701890,测试环境,是,是,是,是,是,	803643024637829123,问题反馈,否,-888,-888,-888,从无,F.一年内,A.一切正常,是,-999,A.我没有受到任何干扰,-999,时间太长了	,锻炼耐力	,

