"X","ParticipantID","swb_1","swb_2","swb_3","swb_4","swb_5","LOT_1","LOT_2","LOT_3","LOT_4","LOT_5","LOT_6","IPC_1","IPC_2","IPC_3","IPC_4","IPC_5","IPC_6","IPC_7","IPC_8","MorIden_1","MorIden_2","MorIden_3","MorIden_4","MorIden_5","MorIden_6","MorIden_7","MorIden_8","MorIden_9","MorIden_10","moralSeImag_1","moralSeImag_2","moralSeImag_3","moralSeImag_4","moralSeImag_5","moralSeImag_6","moralSeImag_7","moralSeImag_8","moralSeImag_9","sde_1","sde_2","sde_3","sde_4","sde_5","sde_6","sde_7","sde_8","sde_9","sde_10","sde_11","sde_12","sde_13","sde_14","sde_15","sde_16","sde_17","sde_18","sde_19","sde_20","IM_1","IM_2","IM_3","IM_4","IM_5","IM_6","IM_7","IM_8","IM_9","IM_10","IM_11","IM_12","IM_13","IM_14","IM_15","IM_16","IM_17","IM_18","IM_19","IM_20","Sex","ID","trap2","trap2_item"
14,649,5,6,5,4,3,5,2,4,4,5,5,2,1,2,3,-2,2,1,2,4,5,5,5,5,4,4,3,4,5,4,6,3,6,3,2,4,4,3,5,2,2,3,6,3,3,1,5,4,1,2,5,2,2,4,4,3,6,3,2,3,3,1,2,3,2,7,3,7,3,1,4,2,3,1,3,3,1,3,"Female","phase_005_subj_16",NA,NA
15,48,5,4,5,4,6,5,4,4,5,4,5,-1,1,1,3,-3,2,2,3,4,4,5,5,5,4,4,5,4,4,9,9,7,8,7,8,9,7,9,5,3,7,4,4,3,5,2,3,4,4,4,5,4,4,6,4,4,6,4,6,5,5,6,3,5,5,6,6,7,7,6,4,5,6,6,5,5,3,7,"Female","phase_005_subj_2",NA,NA
16,171,5,5,4,4,3,5,3,5,2,2,5,2,2,2,3,1,2,3,2,5,4,5,4,4,4,4,4,4,4,4,5,5,5,3,7,5,5,5,6,5,6,6,7,2,6,5,5,5,6,5,6,3,5,6,5,6,7,6,1,3,3,5,3,6,7,7,7,7,3,5,3,2,2,5,3,7,6,7,"Male","phase_005_subj_5",NA,NA
17,666,5,4,4,4,4,4,3,4,4,4,4,-1,1,2,-2,-2,1,1,1,4,4,5,4,3,3,3,3,4,4,4,6,6,7,8,5,7,8,7,5,4,2,6,4,3,3,3,4,2,2,3,4,3,2,4,4,3,2,2,2,2,2,3,3,5,2,4,2,5,2,4,4,3,3,2,3,3,3,2,"Female","phase_005_subj_17",NA,NA
18,668,6,5,7,5,5,4,3,5,4,4,4,2,1,2,1,1,2,3,1,4,5,5,5,4,3,4,4,4,3,6,5,6,7,5,6,6,7,7,6,5,4,6,5,3,4,4,5,5,3,2,5,3,6,5,3,4,5,5,4,6,5,6,6,7,4,6,5,6,7,6,6,5,5,6,5,6,5,6,"Female","phase_005_subj_18",NA,NA
8,312,5,5,6,5,5,5,4,4,4,4,4,1,2,-2,2,1,1,2,1,5,5,4,4,4,4,5,4,4,5,6,8,5,7,6,3,5,6,6,5,2,3,2,2,2,3,5,5,5,3,2,5,3,2,5,3,6,3,2,3,3,2,3,3,3,2,3,6,5,7,5,5,3,3,6,3,3,3,5,"Female","phase_006_subj_7",1,NA
9,604,4,4,4,3,3,4,3,3,4,4,5,1,1,1,2,-1,2,2,2,4,4,5,5,4,4,4,4,5,4,6,7,6,7,6,6,7,8,8,5,4,3,5,5,3,5,5,5,4,4,3,5,2,4,4,4,4,2,4,3,5,5,7,4,7,4,5,5,6,5,5,5,7,4,5,4,6,4,6,"Female","phase_006_subj_24",7,NA
10,536,7,5,7,6,4,4,5,4,5,5,5,2,2,2,3,1,3,2,2,5,4,5,2,4,5,4,4,5,3,4,5,4,6,5,6,4,4,5,4,3,3,5,6,3,5,1,6,5,3,3,6,3,5,5,5,6,5,6,2,3,3,4,4,7,5,6,6,7,5,7,7,4,5,7,6,6,6,6,"Male","phase_006_subj_22",1,NA
11,349,6,3,3,5,2,4,1,3,5,5,4,1,2,1,2,-2,-1,2,2,5,4,5,4,3,4,4,4,4,3,4,7,3,7,4,5,7,7,8,4,3,6,2,3,2,6,1,4,2,5,2,4,4,2,5,4,4,2,3,2,3,4,2,2,3,2,6,6,6,7,5,7,7,4,7,1,2,2,2,"Female","phase_006_subj_10",1,NA
12,14,3,2,2,3,1,5,3,2,4,5,5,2,2,-1,2,-1,2,1,2,5,4,5,5,5,3,4,4,4,3,2,3,3,4,3,3,3,4,4,5,5,2,3,5,2,5,2,5,1,2,2,5,3,3,2,5,2,2,3,2,3,1,1,1,5,3,3,2,7,6,3,3,3,3,5,2,7,3,5,"Male","phase_006_subj_1",1,NA
13,448,4,3,2,3,3,4,2,3,2,2,5,1,-1,1,2,1,2,2,2,5,5,5,5,4,3,4,3,4,3,4,6,6,7,3,4,6,5,7,5,7,5,3,4,5,5,4,5,2,5,3,5,4,3,3,3,4,6,3,3,5,4,3,3,7,3,5,3,6,6,6,7,5,3,6,6,6,3,6,"Female","phase_006_subj_19",1,NA
14,446,6,5,6,6,5,4,3,4,5,5,4,2,1,1,1,1,2,2,2,5,5,5,5,4,3,4,4,5,4,6,7,6,6,5,7,7,8,8,4,7,5,6,5,3,4,1,6,5,5,2,4,3,4,7,5,4,4,5,5,5,6,1,6,5,4,7,7,7,4,2,4,7,4,7,2,7,3,7,"Female","phase_006_subj_17",1,NA
16,319,6,6,7,6,6,4,1,4,4,4,5,2,2,1,3,-1,2,2,2,5,5,5,5,4,4,5,4,5,5,6,8,6,8,5,6,8,7,8,5,6,2,3,7,2,6,1,5,2,5,2,7,3,5,4,5,4,2,6,3,5,3,2,2,6,2,7,3,5,6,3,3,3,2,3,1,7,3,3,"Male","phase_006_subj_8",1,NA
17,272,5,5,4,4,3,4,2,3,4,4,4,1,-1,-1,-2,1,2,2,2,5,4,4,3,4,4,3,3,4,3,6,7,5,7,4,6,6,7,6,5,4,3,4,5,2,3,6,5,4,4,3,6,4,2,4,3,5,4,3,3,3,3,6,3,6,5,4,5,6,6,6,7,7,2,5,3,6,3,6,"Female","phase_006_subj_5",1,NA
18,609,3,4,4,3,4,4,3,3,4,4,4,1,2,1,2,1,1,2,2,4,5,4,5,4,4,5,5,4,4,6,6,7,7,5,5,6,7,6,5,6,3,5,5,5,5,7,6,6,4,4,5,5,6,5,5,4,5,6,4,5,3,6,3,5,3,6,5,5,7,6,6,5,3,6,5,3,4,5,"Female","phase_006_subj_25",1,NA
19,496,5,3,5,3,3,5,3,5,4,4,5,2,1,1,2,1,1,3,2,4,4,4,2,3,4,4,3,4,5,5,7,6,8,7,6,8,5,9,4,5,3,5,6,3,6,6,4,5,4,3,5,4,5,3,4,7,5,5,3,3,3,2,3,5,3,6,3,5,3,2,5,3,3,4,2,6,3,3,"Female","phase_006_subj_21",1,NA
20,112,5,5,6,4,3,4,3,5,4,4,5,2,1,2,2,1,3,2,3,5,4,5,4,4,3,3,4,5,4,4,5,4,5,4,2,6,4,5,4,5,5,6,3,2,4,3,6,2,5,2,6,4,2,3,4,6,6,5,3,4,2,2,2,5,3,7,6,6,4,5,5,5,2,5,6,7,3,4,"Female","phase_006_subj_4",1,NA
21,320,3,3,4,2,3,4,3,3,4,3,4,2,1,1,2,-1,1,3,1,4,4,5,4,3,1,3,3,4,4,6,5,6,6,7,7,6,7,7,5,6,4,6,5,5,5,6,4,4,5,4,4,4,5,4,4,7,5,5,5,4,5,5,5,6,4,4,3,6,7,5,5,6,6,3,5,6,5,5,"Female","phase_006_subj_9",1,NA
22,595,6,6,6,6,5,5,3,4,4,5,5,3,-2,2,2,2,3,3,3,5,5,5,5,5,5,5,5,4,4,7,8,7,8,7,7,5,5,5,5,6,3,7,5,5,4,1,5,7,4,3,6,6,3,5,4,2,5,6,5,4,3,5,6,3,7,7,6,7,6,5,6,7,7,7,7,6,5,6,"Female","phase_006_subj_23",1,NA
23,90,6,6,6,4,6,5,4,5,4,4,5,3,2,2,3,1,2,3,3,5,4,5,5,4,4,4,4,4,4,5,5,6,5,3,7,5,5,5,5,7,6,5,6,5,6,2,6,6,6,3,7,1,5,6,5,7,7,6,3,6,3,6,3,7,7,7,7,7,7,6,3,2,2,7,3,7,6,7,"Male","phase_006_subj_2",1,NA
1,574,6,7,5,6,7,5,5,4,4,5,4,1,-3,1,2,2,1,3,2,4,2,5,2,4,2,2,1,4,5,4,7,5,4,4,6,4,6,7,3,6,5,5,2,3,6,3,6,5,6,3,7,5,3,3,6,6,6,6,3,6,5,2,6,5,6,6,7,5,6,3,3,3,7,2,5,6,2,7,"Female","phase_007_subj_17",NA,NA
2,170,7,6,6,6,6,5,4,5,5,5,5,3,3,3,2,2,3,3,2,5,5,5,5,4,4,5,4,5,4,6,6,7,7,7,5,6,7,6,7,6,6,7,6,7,6,1,6,6,6,6,6,6,6,4,6,7,7,6,7,7,7,5,7,7,6,7,7,7,7,5,7,7,6,7,7,7,6,7,"Male","phase_007_subj_6",NA,NA
3,14,7,6,7,6,6,4,4,5,5,5,5,3,3,2,3,2,3,3,3,5,4,5,5,3,4,4,4,5,4,5,5,7,7,6,5,5,5,6,6,6,1,7,6,6,5,1,6,7,5,6,6,7,6,4,7,7,7,6,6,7,7,6,7,7,6,7,7,7,7,6,7,7,7,7,7,7,6,6,"Male","phase_007_subj_1",NA,NA
4,221,7,5,6,7,5,4,4,4,5,4,5,1,-2,2,1,3,2,1,3,4,5,5,5,4,4,5,5,4,5,8,6,8,7,6,9,6,8,7,6,6,5,7,5,6,6,7,5,7,5,6,1,6,6,5,7,7,5,6,3,7,2,5,6,6,5,6,7,6,7,7,5,1,6,6,7,7,6,5,"Male","phase_007_subj_8",NA,NA
5,397,3,2,2,3,2,5,3,4,5,5,5,1,-1,-2,1,-2,1,1,-2,5,4,4,5,4,4,2,2,4,2,4,5,6,7,4,4,3,4,5,3,2,2,3,2,2,3,3,3,2,2,2,6,3,2,2,2,6,3,3,2,2,3,3,2,3,3,5,2,6,5,2,6,5,5,2,2,5,2,1,"Female","phase_007_subj_11",NA,NA
6,88,6,5,6,5,5,4,4,4,4,4,4,2,1,1,1,1,1,1,2,4,4,4,4,4,4,4,4,4,4,6,7,7,7,6,7,6,7,7,5,6,3,5,5,5,3,5,5,5,5,5,5,5,5,6,5,5,5,5,3,5,3,5,3,5,6,5,6,5,5,6,6,5,3,5,6,5,5,3,"Female","phase_007_subj_4",NA,NA
7,601,5,7,5,6,6,4,4,4,5,4,4,-2,-3,2,1,3,2,1,2,4,3,4,5,4,5,4,2,4,5,6,8,7,8,5,9,6,8,6,5,6,5,7,5,6,6,6,5,6,5,6,1,7,5,6,6,5,7,5,3,7,6,5,5,6,6,6,6,7,7,6,5,2,7,5,5,6,5,1,"Male","phase_007_subj_19",NA,NA
8,534,7,7,7,7,7,4,4,4,5,5,5,2,1,2,3,1,3,3,3,5,5,5,5,5,4,4,5,5,5,5,5,5,5,7,7,7,5,5,5,1,1,7,5,1,7,7,7,7,7,1,7,2,4,5,5,6,6,3,3,7,2,1,1,7,1,7,1,7,1,1,1,1,1,1,1,7,1,7,"Male","phase_007_subj_16",NA,NA
9,447,6,6,4,4,3,4,2,4,2,3,5,1,-1,-1,1,-1,1,1,1,4,4,5,5,4,5,5,5,4,4,6,7,4,7,4,2,5,4,6,6,5,4,3,6,2,4,1,5,3,5,3,6,1,4,4,5,2,6,4,2,5,4,2,1,3,3,5,2,2,6,2,4,1,1,3,2,6,5,3,"Male","phase_007_subj_13",NA,NA
10,587,5,4,5,2,1,5,3,4,5,5,4,1,-1,2,2,1,1,2,3,4,3,5,4,2,4,5,4,5,4,4,7,7,7,6,6,6,5,8,6,3,2,4,5,5,6,6,5,3,3,3,5,2,4,3,4,5,2,5,3,3,2,1,3,5,2,3,3,6,6,3,7,3,3,3,2,5,3,3,"Female","phase_007_subj_18",NA,NA
11,279,5,4,5,5,3,3,3,2,4,5,4,1,-2,1,1,-1,1,2,1,5,4,5,5,4,3,4,4,4,5,4,6,7,7,4,5,4,6,6,4,3,2,5,5,4,4,5,3,3,3,2,6,6,3,3,3,3,3,5,2,2,3,3,3,3,2,5,3,4,3,2,2,2,1,2,2,3,2,3,"Female","phase_007_subj_10",NA,NA
12,73,5,6,6,5,4,4,3,4,4,4,4,1,-1,-2,2,-1,1,1,1,4,3,4,4,3,2,3,4,4,3,3,6,4,4,2,4,3,8,7,5,2,6,4,5,3,2,3,3,5,4,3,3,2,4,5,5,3,6,4,3,4,3,3,5,5,5,2,2,6,5,2,5,1,3,5,2,5,3,4,"Female","phase_007_subj_3",NA,NA
13,148,5,5,5,5,4,4,3,3,3,4,4,2,1,1,2,-1,1,1,2,4,3,5,5,2,3,3,3,4,4,7,8,6,8,7,5,5,7,6,4,3,3,3,4,2,5,1,5,2,4,2,5,6,4,4,4,3,3,4,3,4,3,5,3,6,3,4,6,5,4,6,7,4,3,5,3,4,3,5,"Female","phase_007_subj_5",NA,NA
14,648,6,5,5,6,5,4,3,4,4,4,5,2,1,2,3,1,2,2,3,5,4,5,5,4,3,4,3,4,5,3,4,4,5,3,4,4,5,4,6,4,2,5,7,2,4,1,5,3,5,3,3,3,3,5,4,3,3,5,2,5,3,3,2,5,3,7,7,7,3,6,7,7,3,5,2,1,1,5,"Male","phase_007_subj_21",NA,NA
15,402,5,5,6,5,6,5,4,4,4,4,5,-1,2,1,2,-1,2,2,1,4,4,5,5,5,4,4,5,4,4,7,8,7,8,8,7,8,7,8,5,4,5,4,4,3,5,2,4,4,5,3,6,4,4,6,4,4,5,4,4,5,6,5,3,6,6,5,6,5,6,5,4,6,6,5,5,5,4,6,"Male","phase_007_subj_12",NA,NA
1,361,7,6,7,7,6,5,5,5,5,5,5,3,2,2,3,2,3,3,3,5,5,5,5,4,5,4,4,4,5,6,6,5,7,6,5,6,6,6,6,7,6,7,7,7,5,1,6,7,6,6,7,6,7,6,6,7,6,7,6,7,7,6,6,7,7,7,7,7,7,6,7,7,7,7,7,7,6,6,"Male","phase_008_subj_11",NA,NA
2,590,7,7,7,7,7,5,5,5,5,5,5,3,1,3,2,3,3,3,3,5,5,5,5,4,5,5,5,4,4,7,7,6,6,5,5,6,8,7,6,6,7,7,7,7,6,1,6,7,7,6,7,7,6,6,7,7,7,7,6,7,7,6,6,7,7,7,7,7,7,6,7,7,7,7,7,7,6,5,"Female","phase_008_subj_17",NA,NA
3,630,7,7,7,6,6,5,5,5,5,5,5,3,3,3,1,2,3,3,2,5,4,5,5,4,4,4,4,5,4,7,6,6,7,7,5,7,8,7,7,7,6,7,7,6,6,1,6,7,6,7,7,6,6,5,6,7,6,7,6,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,"Male","phase_008_subj_19",NA,NA
4,481,6,6,6,5,4,4,4,5,4,5,5,1,-1,2,2,2,2,-1,1,5,4,5,4,3,4,4,4,3,4,5,7,4,7,5,4,6,6,8,3,6,5,5,6,4,5,6,6,6,6,5,4,7,6,3,6,5,5,6,2,4,4,5,5,5,4,5,5,6,5,5,7,7,3,4,3,6,4,5,"Male","phase_008_subj_15",NA,NA
6,273,7,7,7,7,7,5,5,5,5,5,5,3,1,3,3,3,3,3,3,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,"Male","phase_008_subj_8",NA,NA
7,470,7,7,7,7,7,5,5,5,5,5,5,3,1,3,3,1,2,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,"Male","phase_008_subj_14",NA,NA
8,106,7,7,7,6,7,5,4,5,5,5,5,3,2,3,3,3,3,2,3,5,5,5,5,4,4,5,4,5,5,6,6,6,8,7,6,6,7,7,6,7,6,7,7,7,6,1,7,6,6,7,7,7,6,6,7,7,6,7,6,7,7,7,6,7,7,7,7,7,7,6,7,7,7,7,7,7,5,7,"Male","phase_008_subj_1",NA,NA
