"X","ParticipantID","ses_1","ses_2","ses_3","ses_4","ses_5","ses_6","ses_7","ses_8","ses_9","ses_10","coreself_1","coreself_2","coreself_3","coreself_4","coreself_5","coreself_6","coreself_7","coreself_8","coreself_9","coreself_10","SGPS_1","SGPS_2","SGPS_3","SGPS_4","SGPS_5","SGPS_6","SGPS_7","SGPS_8","SGPS_9","NPI1","NPI2","NPI3","NPI4","NPI5","NPI6","NPI7","NPI8","NPI9","NPI10","NPI11","NPI12","NPI13","NPI14","NPI15","hsns_1","hsns_2","hsns_3","hsns_4","hsns_5","hsns_6","hsns_7","hsns_8","hsns_9","hsns_10","friend_name","ID","trap1","correct_answer","trap1_item"
1,574,3,4,4,3,3,3,4,3,4,3,4,5,5,4,4,5,5,4,4,4,1,2,2,1,1,2,1,2,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,4,2,1,2,1,2,2,1,4,1,"林","phase_007_subj_17",1,NA,NA
2,170,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,1,1,2,1,1,1,4,4,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,5,1,1,2,1,5,3,2,4,1,"刘","phase_007_subj_6",5,NA,NA
3,14,4,4,4,4,4,4,4,3,4,4,5,5,5,4,5,5,5,5,5,5,1,1,1,1,1,1,2,4,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,5,1,2,1,1,2,4,3,4,1,"王","phase_007_subj_1",NA,NA,NA
4,221,3,4,4,3,3,4,4,3,4,3,4,5,4,5,4,4,5,5,4,4,1,2,1,2,2,1,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4,1,2,1,1,2,1,2,4,2,"刘","phase_007_subj_8",3,NA,NA
5,397,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,4,5,5,4,4,4,4,5,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,5,4,2,5,4,5,4,2,2,"夏诗琪","phase_007_subj_11",2,NA,NA
6,88,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,4,2,2,2,2,4,4,2,4,4,"黄","phase_007_subj_4",NA,NA,NA
7,601,3,4,4,3,3,4,3,2,4,3,4,5,5,4,4,5,4,5,4,4,1,2,2,1,2,1,2,1,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,4,2,1,2,1,1,2,2,4,1,"黄","phase_007_subj_19",3,NA,NA
8,534,4,3,3,4,2,3,3,2,3,3,3,2,2,4,2,4,4,2,4,2,1,2,2,2,2,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,5,1,4,1,4,4,NA,4,2,2,"李","phase_007_subj_16",2,NA,NA
9,447,3,3,3,3,2,3,3,2,3,3,3,3,2,4,4,3,3,4,4,3,5,4,5,5,5,3,4,4,2,0,1,1,0,0,1,1,1,0,1,0,0,1,0,0,4,1,2,2,5,3,4,4,3,3,"娄","phase_007_subj_13",1,NA,NA
12,587,3,4,4,3,3,3,4,3,4,4,4,4,3,4,5,4,4,4,5,5,3,2,2,2,3,1,4,4,2,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,5,3,2,4,4,2,4,5,2,4,"吴","phase_007_subj_18",NA,NA,NA
13,279,3,3,3,3,1,3,3,3,4,3,4,4,2,4,4,4,4,4,4,5,4,5,4,4,5,4,4,4,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,2,1,3,2,3,2,1,4,2,"韦","phase_007_subj_10",2,NA,NA
14,73,4,4,3,3,3,4,3,3,3,3,4,3,2,4,3,4,3,3,4,4,5,5,4,5,5,4,3,4,5,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,4,2,3,2,3,3,4,5,4,4,"张","phase_007_subj_3",3,NA,NA
15,148,3,2,2,2,3,2,2,2,2,2,3,2,2,3,2,3,2,2,3,2,3,3,2,3,3,2,3,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,3,2,3,4,4,4,2,3,3,"王","phase_007_subj_5",1,NA,NA
16,648,4,3,4,3,3,4,3,3,4,4,4,4,2,3,4,4,4,4,5,4,2,3,3,2,2,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,4,2,2,2,4,3,2,1,"柳","phase_007_subj_21",1,NA,NA
17,402,3,3,3,4,3,3,3,3,3,4,4,3,2,4,3,4,3,2,4,4,1,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,2,4,3,4,4,3,2,"李","phase_007_subj_12",4,NA,NA
