Num,UserId,Subject IDs,Subject Name,Time,Duration,Source,Source Details,IP,NodeId,Node,Env_Q1,Env_Q2,Env_Q3,Env_Q4,Env_Q5,NodeId,Node,Env_Q1,Env_Q2_item1,Env_Q2_item2,Env_Q2_item3,Env_Q2_item4,Env_Q3,Env_Q4,Env_Q5,Env_Q6,Env_Q7,Env_Q8,Env_Q9,Env_Q10,Env_Q11,
12,	572562214427295744,	804358168519118849,	只打雷不下雨,	2024-01-29 15:43:47,1小时11分36秒,WEB,直接访问,223.104.9.159,	803643023023149058,测试环境,是,是,是,A.我没有受到任何干扰,是,	803643023371276291,问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,没什么大问题	,瞬间心脑与四肢的协同反应能力，以及专注力	,
13,	798267707752587265,	804370937612079105,	就叫阿晓,	2024-01-29 16:42:09,1小时19分14秒,WEB,直接访问,27.226.22.30,	803643023023149058,测试环境,是,是,是,A.我没有受到任何干扰,是,	803643023371276291,问题反馈,是,词汇评估（评估—再认）,图形匹配（图形—人称词标签）,类似的问卷调查,-888,A.一周内,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,可以将图形匹配中图形的出现时间延长200ms	,反应能力，探求被试者的真实心理状况	,
14,	798586383785664514,	804371064984576001,	用户43371,	2024-01-29 16:25:47,1小时2分21秒,WEB,直接访问,120.230.27.150,	803643023023149058,测试环境,是,是,是,A.我没有受到任何干扰,是,	803643023371276291,问题反馈,是,词汇评估（评估—再认）,-888,-888,-888,F.一年内,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,无	,自己和他人的评价对自身反应能力的影响	,
15,	598865314549071872,	804383280970600450,	SDASD,	2024-01-29 17:30:10,1小时18分12秒,WEB,直接访问,36.139.195.35,	803643023023149058,测试环境,是,是,是,A.我没有受到任何干扰,是,	803643023371276291,问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,无	,想了解他人的记忆能力	,
16,	763092748139237377,	804386424228155394,	周慧,	2024-01-29 18:08:38,1小时44分10秒,WEB,直接访问,175.2.31.59,	803643023023149058,测试环境,是,是,是,A.我没有受到任何干扰,是,	803643023371276291,问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,没有，很好	,测试参与者的记忆力和脑力。	,
17,	798898667061911554,	804396299255549954,	用户43405,	2024-01-29 18:05:10,1小时1分28秒,WEB,直接访问,120.230.27.150,	803643023023149058,测试环境,是,是,是,A.我没有受到任何干扰,是,	803643023371276291,问题反馈,是,-888,图形匹配（图形—人称词标签）,-888,-888,D.三个月内,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,无	,人们对图形和词汇的记忆和反应能力	,
18,	776954102012973057,	804417897194852353,	望,	2024-01-29 19:42:15,1小时12分43秒,WEB,直接访问,106.127.72.70,	803643023023149058,测试环境,是,是,是,A.我没有受到任何干扰,是,	803643023371276291,问题反馈,是,-888,-888,类似的问卷调查,-888,E.半年内,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,这个测试能够很好提高反应能力，可以增加多一些测试题目。	,测试被试者通过练习之后的对图形文字的反应能力	,
19,	802285339656986625,	804431952555020289,	日文,	2024-01-29 20:40:20,1小时14分57秒,WEB,直接访问,211.90.89.74,	803643023023149058,测试环境,是,是,是,A.我没有受到任何干扰,是,	803643023371276291,问题反馈,是,-888,图形匹配（图形—人称词标签）,类似的问卷调查,-888,A.一周内,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,感觉图形那里可以设置为六组	,测试人的反应认知能力	,
20,	634653479763181568,	804443252727095297,	一叶,	2024-01-29 21:28:56,1小时18分39秒,WEB,直接访问,42.180.52.65,	803643023023149058,测试环境,是,是,是,A.我没有受到任何干扰,是,	803643023371276291,问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,无	,研究人对自我的认知	,
21,	781449352643350529,	804447025478377474,	用户40486,	2024-01-29 22:03:45,1小时38分29秒,WEB,直接访问,117.151.96.253,	803643023023149058,测试环境,是,是,是,A.我没有受到任何干扰,是,	803643023371276291,问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,可以适当调整一下实验内容的繁琐性，太长的实验过程可能让实验者拿不出最佳的实验水准	,调查实验者在长时间的变更定义下对事物准确性的记忆度	,
22,	677293882131611648,	804455607070498818,	小林子,	2024-01-29 22:46:06,1小时41分49秒,WEB,直接访问,115.150.56.114,	803643023023149058,测试环境,是,是,是,A.我没有受到任何干扰,是,	803643023371276291,问题反馈,是,-888,图形匹配（图形—人称词标签）,-888,-888,F.一年内,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,无	,调研被试的精神集中程度	,
23,	688788853804236800,	804462269034663937,	cccs,	2024-01-29 23:00:43,1小时34分52秒,WEB,直接访问,112.114.43.60,	803643023023149058,测试环境,是,是,是,A.我没有受到任何干扰,是,	803643023371276291,问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,没有更多的意见	,通过考验我本人的记忆能力和临场应变能力判断我的能力水平	,
24,	793060622811144193,	804476021322686466,	柯炫,	2024-01-29 23:22:10,1小时1分41秒,WEB,直接访问,58.144.198.67,	803643023023149058,测试环境,是,是,是,A.我没有受到任何干扰,是,	803643023371276291,问题反馈,是,-888,图形匹配（图形—人称词标签）,-888,-888,D.三个月内,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,没有	,记忆力考核	,
25,	790214171080925186,	804643652982018049,	绍霖,	2024-01-30 10:25:57,59分21秒,WEB,直接访问,60.167.182.235,	803643023023149058,测试环境,是,是,是,A.我没有受到任何干扰,是,	803643023371276291,问题反馈,是,-888,图形匹配（图形—人称词标签）,-888,-888,C.一个月内,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,无	,对心中朋友的选择	,
26,	800009629605175298,	804645161853521922,	用户43819,	2024-01-30 11:45:57,2小时7分23秒,WEB,直接访问,183.162.192.189,	803643023023149058,测试环境,是,是,是,A.我没有受到任何干扰,是,	803643023371276291,问题反馈,是,词汇评估（评估—再认）,-888,-888,-888,A.一周内,A.一切正常,是,-999,-999,B.我受到他人干扰,第一个测试结束，中间中断一会儿；图形测试第三组，有人过来打扰	,非专业人士，暂无意见	,自我认知，以及专注度、注意力、反应能力的测试	,
27,	634716408718032896,	804703124777603074,	可东,	2024-01-30 14:58:01,1小时35分6秒,WEB,直接访问,218.60.118.214,	803643023023149058,测试环境,是,是,是,A.我没有受到任何干扰,是,	803643023371276291,问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,无	,考研人的记忆能力	,
28,	790191134524710914,	804732436943609857,	宇昊,	2024-01-30 16:16:34,57分10秒,WEB,直接访问,27.148.147.8,	803643023023149058,测试环境,是,是,是,A.我没有受到任何干扰,是,	803643023371276291,问题反馈,是,-888,图形匹配（图形—人称词标签）,-888,-888,D.三个月内,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,没有	,训练记忆	,
29,	779748154852773890,	804793438875947010,	大鱼,	2024-01-30 20:28:19,1小时6分31秒,WEB,直接访问,223.73.1.152,	803643023023149058,测试环境,是,是,是,A.我没有受到任何干扰,是,	803643023371276291,问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,我猜测实验的目的是图形和文字的新结合测试其反应能力，短期记忆能力。如果不是是其他的目的，我觉得三个项目持续时间有点长，建议多几个测试项目，分几次完成，这样也不会感觉这个测试很长。	,图形和文字的新结合测试其反应能力，短期记忆能力	,
30,	769498068633784321,	804800364166651905,	路漫漫,	2024-01-30 20:48:06,58分47秒,WEB,直接访问,113.84.0.188,	803643023023149058,测试环境,是,是,是,A.我没有受到任何干扰,是,	803643023371276291,问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,无	,判断人们对于图形和性格特点是否能挂钩	,
31,	803273008734150658,	804801139659907073,	森柱,	2024-01-30 20:52:28,1小时4秒,WEB,直接访问,36.134.127.131,	803643023023149058,测试环境,是,是,是,A.我没有受到任何干扰,是,	803643023371276291,问题反馈,是,词汇评估（评估—再认）,-888,-888,-888,D.三个月内,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,没有	,记忆力考验	,
32,	799015908117979137,	805001048803647490,	用户43429,	2024-01-31 10:33:14,1小时24分42秒,WEB,直接访问,120.225.24.231,	803643023023149058,测试环境,是,是,是,A.我没有受到任何干扰,是,	803643023371276291,问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,无	,不知道	,
33,	688842330605617152,	805003468514402305,	yey,	2024-01-31 10:38:56,1小时22分33秒,WEB,直接访问,106.61.228.20,	803643023023149058,测试环境,是,是,是,A.我没有受到任何干扰,是,	803643023371276291,问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,没意见	,通过实验和问卷了解我的反应力和记忆力，以此分析我的性格吧。	,
34,	772080972635312129,	805055206743347202,	米修,	2024-01-31 14:12:43,1小时30分45秒,WEB,直接访问,116.169.10.133,	803643023023149058,测试环境,是,是,是,A.我没有受到任何干扰,是,	803643023371276291,问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,无	,可能是判断一个人的人际交往能力是否与她的生活习惯有关。	,
35,	792736654921179138,	805080281466937345,	用户42778,	2024-01-31 15:43:53,1小时22分17秒,WEB,直接访问,113.240.253.139,	803643023023149058,测试环境,是,是,是,A.我没有受到任何干扰,是,	803643023371276291,问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,测试总体比较有意思，能很好的感受到自身的能力反应情况。	,测试人们的记忆以及反应能力。	,
36,	751465309353021442,	805102440633475074,	用户33320,	2024-01-31 17:24:43,1小时35分4秒,WEB,直接访问,36.142.149.222,	803643023023149058,测试环境,是,是,是,A.我没有受到任何干扰,是,	803643023371276291,问题反馈,是,-888,-888,类似的问卷调查,-888,A.一周内,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,无	,记忆力及反应迅速程度随时间变化关系	,
37,	802197026057101313,	805108815019253761,	用户44224,	2024-01-31 17:31:11,1小时16分12秒,WEB,直接访问,113.240.253.139,	803643023023149058,测试环境,是,是,是,A.我没有受到任何干扰,是,	803643023371276291,问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,实验过程中有些疲倦，但是整体觉得很有趣，设置的很好	,对被试者的反应还有记忆力研究，测试反应还有图形记忆匹配能力	,
38,	689594271669420032,	805176577339166721,	黑天,	2024-01-31 22:14:43,1小时30分28秒,WEB,直接访问,101.30.127.156,	803643023023149058,测试环境,是,是,是,A.我没有受到任何干扰,是,	803643023371276291,问题反馈,是,-888,图形匹配（图形—人称词标签）,-888,-888,G.从无,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,词汇评估任务中，如果选择了2，也就是“熟悉”，也就表明我不知道这个词汇是跟朋友还是自己相匹配的，可是还要再进行选择，我只能凭感觉。	,day1是对自我的认识，day2增加了对与自我有关的朋友的认识，	,
39,	803250783939338242,	805144172058382337,	用户44389,	2024-01-31 19:38:12,1小时2分43秒,WEB,直接访问,115.237.116.203,	805022897650409476,问题反馈,否,-888,图形匹配（图形—人称词标签）,类似的问卷调查,-888,A.一周内,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,-999,判断工作记忆和认知	,	805022898422161411,测试环境-1,是,是,是,是,是,

