"V1","ParticipantID","ses_1","ses_2","ses_3","ses_4","ses_5","ses_6","ses_7","ses_8","ses_9","ses_10","coreself_1","coreself_2","coreself_3","coreself_4","coreself_5","coreself_6","coreself_7","coreself_8","coreself_9","coreself_10","SGPS_1","SGPS_2","SGPS_3","SGPS_4","SGPS_5","SGPS_6","SGPS_7","SGPS_8","SGPS_9","NPI1","NPI2","NPI3","NPI4","NPI5","NPI6","NPI7","NPI8","NPI9","NPI10","NPI11","NPI12","NPI13","NPI14","NPI15","hsns_1","hsns_2","hsns_3","hsns_4","hsns_5","hsns_6","hsns_7","hsns_8","hsns_9","hsns_10","friend_name","ID","trap1","correct_answer","trap1_item"
6,273,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,5,1,1,5,1,1,1,1,1,1,"袁","phase_008_subj_8",1,NA,NA
7,470,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,0,1,1,0,0,5,1,1,1,1,1,1,2,1,1,"范","phase_008_subj_14",4,NA,NA
8,106,4,4,4,3,4,4,4,3,4,4,5,5,5,4,5,5,5,5,5,5,1,1,2,1,2,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,1,2,2,2,1,1,4,1,"朱","phase_008_subj_1",5,NA,NA
9,154,3,3,4,3,3,4,3,3,4,4,4,4,4,4,3,5,4,2,4,4,4,4,3,3,4,4,3,3,2,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,3,4,3,3,4,3,4,4,4,3,"陈","phase_008_subj_3",1,NA,NA
10,405,4,4,4,4,4,4,4,3,4,4,5,5,5,4,5,5,5,5,4,5,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,1,5,1,2,2,1,3,4,1,4,1,"周","phase_008_subj_12",2,NA,NA
11,139,4,4,4,3,4,4,4,3,4,4,4,5,5,5,5,4,4,4,4,5,1,1,2,2,2,2,2,4,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,5,2,3,2,3,1,1,2,3,2,"张","phase_008_subj_2",2,NA,NA
12,417,3,4,4,3,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,5,2,1,1,2,2,2,1,2,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,4,5,4,2,5,2,4,4,1,2,"徐","phase_008_subj_13",NA,NA,NA
13,176,4,4,4,4,3,4,4,3,4,4,5,4,3,4,4,5,4,4,5,5,2,3,2,2,3,2,2,2,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,5,2,4,2,4,4,4,3,4,4,"陈","phase_008_subj_4",4,NA,NA
14,539,3,3,3,3,3,3,3,2,3,3,4,4,2,4,4,4,4,3,4,4,2,3,2,2,2,2,2,2,1,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,3,2,4,2,3,4,4,3,4,2,"s","phase_008_subj_16",1,NA,NA
15,618,3,4,4,3,3,3,3,3,3,4,4,4,2,4,4,4,4,4,5,4,2,2,1,2,1,2,2,4,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5,1,4,1,4,2,4,1,1,1,"王","phase_008_subj_18",3,NA,NA
16,240,3,4,4,3,3,3,4,3,3,4,4,4,2,3,4,5,4,2,4,4,4,5,4,4,4,5,4,4,5,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,4,4,5,2,5,2,4,5,4,3,"仝","phase_008_subj_6",2,NA,NA
17,651,4,3,4,3,4,3,3,3,4,4,4,4,3,4,4,4,5,3,4,5,2,1,2,2,2,1,1,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,2,4,3,4,2,3,1,"陈","phase_008_subj_20",NA,NA,NA
18,253,4,4,3,3,4,4,3,4,4,4,4,4,5,5,5,5,5,4,5,5,4,2,3,1,2,1,2,2,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,5,2,1,2,1,4,2,3,1,1,"杜","phase_008_subj_7",4,NA,NA
19,336,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,5,1,5,2,1,4,4,2,5,1,"王","phase_008_subj_10",NA,NA,NA
1,65,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,1,1,2,1,1,2,1,4,1,"刘","phase_009_subj_4",2,NA,NA
2,249,4,4,4,4,4,4,4,3,4,4,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,5,1,2,1,1,1,2,2,5,1,"黄","phase_009_subj_11",1,NA,NA
3,498,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,1,3,1,2,2,1,4,1,"肖","phase_009_subj_19",3,NA,NA
4,356,4,3,4,4,4,3,4,4,4,4,4,4,2,4,4,5,5,3,4,5,4,4,4,4,4,4,4,2,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4,4,4,5,5,4,4,5,4,4,"苏","phase_009_subj_13",2,NA,NA
5,235,3,3,3,3,3,3,3,3,3,3,4,2,2,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,4,2,2,4,4,2,4,4,4,2,"李","phase_009_subj_10",NA,NA,NA
6,423,2,3,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,2,4,4,4,4,3,3,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,5,3,4,4,3,1,"张","phase_009_subj_16",1,NA,NA
7,442,3,3,3,3,3,3,3,3,3,2,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,2,2,2,4,2,4,4,4,4,"黄","phase_009_subj_17",5,NA,NA
8,169,2,3,2,2,2,2,2,1,2,2,2,2,2,3,2,2,2,2,3,2,3,4,4,4,3,3,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,4,4,4,5,3,4,4,2,2,"杨","phase_009_subj_9",1,NA,NA
9,523,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,1,2,1,2,2,1,4,1,"付","phase_009_subj_20",NA,NA,NA
10,24,3,3,4,3,3,4,4,3,4,4,4,4,3,4,4,5,5,4,4,4,2,2,2,2,2,2,3,4,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4,2,2,2,1,3,3,2,4,3,"王","phase_009_subj_3",1,NA,NA
11,137,4,4,4,4,4,4,4,3,4,4,4,4,3,5,4,5,4,4,5,4,1,1,1,1,1,2,4,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,2,4,4,4,2,4,2,2,1,"赵","phase_009_subj_8",5,NA,NA
12,586,4,3,4,3,4,3,4,3,4,4,4,4,3,4,4,5,4,4,4,4,1,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,1,2,2,4,2,2,1,"李","phase_009_subj_21",1,NA,NA
13,15,3,4,4,3,3,4,3,3,4,3,4,4,4,4,4,5,4,4,4,4,2,2,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,4,2,1,1,2,4,4,5,4,2,"应","phase_009_subj_2",1,NA,NA
14,87,3,3,3,4,3,3,3,3,3,4,4,4,2,4,4,4,4,4,4,4,2,2,2,2,2,2,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5,4,4,2,4,2,1,4,3,2,"肖","phase_009_subj_5",NA,NA,NA
15,11,4,3,4,3,4,4,4,3,4,4,4,4,5,4,4,5,4,4,4,5,1,2,2,2,1,2,1,2,2,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,5,2,3,2,2,4,4,5,5,2,"陶","phase_009_subj_1",1,NA,NA
16,403,3,4,4,3,4,3,4,3,4,4,4,5,4,4,5,4,5,4,5,5,2,1,1,2,2,1,2,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,2,4,2,4,2,3,4,4,2,"叶","phase_009_subj_15",NA,NA,NA
17,313,3,3,4,3,4,3,3,4,4,4,4,5,2,4,4,4,5,5,4,5,1,1,2,1,2,2,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,1,4,1,1,1,1,1,4,4,1,1,"张","phase_009_subj_12",1,NA,NA
18,130,4,3,4,3,3,3,3,3,3,4,4,4,2,3,4,4,4,4,4,5,4,4,4,2,4,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,2,2,1,2,4,4,2,"路","phase_009_subj_7",2,NA,NA
19,628,3,2,3,3,2,2,2,2,2,2,4,2,2,3,3,3,2,2,3,4,3,3,2,3,3,2,2,2,2,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,3,5,4,2,3,5,4,3,2,2,"林","phase_009_subj_22",NA,NA,NA
20,632,3,4,4,3,3,3,3,4,4,3,4,3,2,4,4,4,5,3,4,4,2,3,3,2,2,1,2,4,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,4,3,5,4,4,2,5,4,3,4,"何","phase_009_subj_23",4,NA,NA
21,378,4,4,4,4,4,4,4,4,4,3,5,2,2,4,2,5,5,5,4,4,5,5,5,5,5,5,5,5,5,0,1,1,1,1,1,1,0,1,1,0,0,0,0,1,5,5,5,1,5,1,5,5,5,2,"秦","phase_009_subj_14",NA,NA,NA
22,104,1,2,2,1,1,2,2,1,2,1,2,1,2,1,2,2,2,1,2,1,4,5,4,5,5,4,4,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,5,5,4,5,5,4,5,1,1,"王","phase_009_subj_6",NA,NA,NA
23,484,3,3,3,3,3,3,3,3,3,3,4,4,1,4,2,4,3,2,3,1,5,5,5,5,5,5,4,5,5,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,2,4,5,5,5,4,5,5,4,5,"焦","phase_009_subj_18",5,NA,NA
1,576,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,5,1,2,1,1,2,1,2,5,1,"王","phase_010_subj_19",4,NA,NA
2,576,4,4,4,4,3,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,1,5,1,1,1,2,1,2,1,5,1,"熊","phase_010_subj_18",3,NA,NA
3,658,4,4,4,4,4,4,4,4,4,4,5,5,5,4,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,1,2,1,2,1,2,5,2,"刘","phase_010_subj_23",1,NA,NA
4,268,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,1,1,1,5,2,2,1,1,1,3,2,5,1,"张","phase_010_subj_9",4,NA,NA
5,482,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,5,1,2,2,1,2,4,1,5,2,"郭","phase_010_subj_15",3,NA,NA
6,700,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,1,2,2,1,2,2,5,1,"袁","phase_010_subj_25",1,NA,NA
7,466,4,4,4,4,4,4,4,3,4,4,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,1,2,2,1,2,1,4,1,"周","phase_010_subj_14",NA,NA,NA
8,140,3,4,4,3,4,4,3,4,3,4,4,5,4,4,4,5,5,4,4,5,1,2,2,1,2,1,4,2,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,5,2,1,4,4,1,5,4,2,1,"陈","phase_010_subj_3",2,NA,NA
9,235,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5,1,1,1,1,1,1,4,1,1,"董","phase_010_subj_6",5,NA,NA
10,257,3,4,4,3,3,3,4,2,3,4,4,4,4,4,4,4,5,4,4,4,1,1,2,2,3,2,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,3,1,2,3,2,4,4,3,4,2,"杨","phase_010_subj_7",3,NA,NA
11,215,3,3,3,3,3,3,3,3,3,3,4,4,2,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,4,2,2,2,2,4,4,4,4,2,"杨","phase_010_subj_5",NA,NA,NA
12,637,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,1,0,1,1,0,1,1,1,0,0,1,0,1,0,1,4,2,2,2,2,2,4,4,4,2,"赵","phase_010_subj_22",3,NA,NA
13,265,3,3,3,3,2,3,2,2,3,4,4,3,3,4,4,3,3,3,4,3,1,3,3,2,2,2,2,3,3,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,4,2,2,4,4,5,3,5,3,1,"李","phase_010_subj_8",3,NA,NA
14,610,3,3,3,3,3,3,3,3,3,3,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,4,4,4,4,2,2,2,2,2,"田","phase_010_subj_21",5,NA,NA
15,689,3,4,3,3,4,4,3,4,3,3,5,4,5,4,5,4,4,5,4,5,2,1,2,2,1,2,2,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5,1,2,1,2,2,1,2,4,2,"王","phase_010_subj_24",NA,NA,NA
16,27,4,3,4,3,3,3,3,3,4,4,4,4,2,3,4,4,3,3,4,4,2,3,4,3,4,3,4,3,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,3,2,1,3,1,3,4,2,3,"钟","phase_010_subj_1",1,NA,NA
17,445,3,4,3,3,3,4,3,2,4,4,5,4,4,4,5,5,4,4,4,4,5,4,4,4,4,4,4,5,4,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,5,4,4,1,4,2,4,5,4,2,"赵","phase_010_subj_13",3,NA,NA
18,137,2,3,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3,2,4,4,4,3,4,4,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,5,3,3,3,2,1,"刘","phase_010_subj_2",2,NA,NA
19,587,4,3,4,3,3,3,3,3,3,3,4,4,1,4,4,4,4,3,4,5,4,3,3,4,4,3,4,3,3,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,5,3,4,1,3,2,4,3,2,2,"张","phase_010_subj_20",2,NA,NA
20,403,2,3,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,3,4,3,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,3,3,3,2,2,"孙","phase_010_subj_12",1,NA,NA
21,398,4,3,4,3,3,4,4,3,4,3,5,5,4,4,5,5,4,5,4,5,2,1,2,2,2,1,1,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4,1,2,1,2,2,1,1,4,2,"吴","phase_010_subj_11",5,NA,NA
22,504,3,3,3,3,2,3,3,3,2,2,4,3,2,4,2,4,3,2,4,4,4,4,3,3,3,3,4,2,5,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,2,2,3,2,4,4,4,2,2,2,"张","phase_010_subj_16",3,NA,NA
23,395,4,3,4,4,3,3,3,2,4,3,4,4,4,5,5,4,4,5,4,4,4,5,4,4,4,4,4,5,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,5,4,4,2,4,2,4,4,4,4,"刘","phase_010_subj_10",2,NA,NA
24,538,3,3,3,3,3,3,3,3,2,4,3,3,4,2,3,3,3,3,2,3,4,4,4,4,4,3,4,2,3,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,3,4,3,4,3,4,4,3,2,2,"陈","phase_010_subj_17",1,NA,NA
1,569,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,1,1,2,1,2,2,5,1,"胡","phase_011_subj_22",2,NA,NA
2,193,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,1,2,1,1,2,NA,5,2,"张","phase_011_subj_3",1,NA,NA
3,308,3,4,4,4,4,3,4,1,4,4,4,5,4,5,5,4,5,5,5,5,2,1,2,1,5,1,2,5,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,1,5,4,5,1,2,4,5,4,2,2,"李","phase_011_subj_9",1,NA,NA
4,291,3,4,4,3,3,3,3,4,4,4,4,4,4,5,4,4,4,4,4,5,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,4,1,2,2,3,4,3,4,4,2,"水","phase_011_subj_8",4,NA,NA
5,313,3,4,4,4,4,4,4,3,4,4,5,5,4,5,5,4,5,5,4,4,1,2,1,1,5,2,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,5,1,3,2,2,2,4,5,1,2,"李","phase_011_subj_10",5,NA,NA
6,697,3,4,4,3,3,4,3,4,4,3,4,4,2,4,4,4,2,2,5,4,2,4,2,3,2,2,2,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5,2,2,2,4,4,4,2,4,2,"吴","phase_011_subj_25",3,NA,NA
7,46,3,4,4,3,4,3,4,1,4,4,4,5,4,4,5,5,4,4,4,5,1,2,2,2,1,2,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,2,2,1,1,2,1,1,2,"侯","phase_011_subj_1",2,NA,NA
8,541,4,3,3,3,3,3,4,2,3,4,4,3,3,4,4,4,3,2,3,3,3,3,2,2,2,2,1,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4,5,4,3,3,3,3,4,3,1,"屈","phase_011_subj_20",1,NA,NA
9,651,3,3,4,3,3,4,3,3,4,3,4,3,2,3,4,4,4,5,4,4,4,5,3,4,3,2,2,4,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4,4,3,5,2,4,2,4,4,2,"赵","phase_011_subj_24",1,NA,NA
10,272,4,3,4,4,4,4,3,2,4,4,5,4,1,2,5,5,4,4,5,4,2,1,2,1,1,1,1,4,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,5,1,2,4,2,4,5,2,5,2,"李","phase_011_subj_5",3,NA,NA
11,269,3,4,4,3,3,4,3,3,3,4,4,4,2,3,4,4,4,4,4,5,4,4,3,4,4,3,4,2,3,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,4,3,1,2,4,3,2,3,2,3,"张","phase_011_subj_4",NA,NA,NA
12,461,3,3,3,3,2,3,3,3,3,3,4,2,2,3,2,4,4,3,4,4,4,4,4,4,4,2,4,4,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4,4,2,2,3,2,4,4,2,2,"黄","phase_011_subj_17",3,NA,NA
13,283,3,3,3,4,3,3,3,3,3,3,4,2,4,4,4,5,4,4,4,4,4,3,4,4,4,4,4,4,4,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,4,3,4,4,4,3,4,4,4,2,"徐","phase_011_subj_7",2,NA,NA
14,375,4,3,2,3,3,2,2,2,2,2,3,2,2,3,2,3,2,1,4,1,4,4,3,2,3,4,2,3,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,3,2,4,3,3,4,4,3,5,3,"吴","phase_011_subj_12",2,NA,NA
15,438,3,3,4,3,3,3,4,4,3,3,4,4,3,5,4,4,4,3,4,4,1,2,2,2,2,2,2,2,2,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,4,4,3,2,3,4,4,3,3,2,"李","phase_011_subj_13",3,NA,NA
16,275,4,4,4,3,3,4,3,3,3,3,4,3,2,4,4,4,4,2,4,4,4,5,3,4,4,3,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,2,2,4,2,4,4,2,2,"陈","phase_011_subj_6",3,NA,NA
17,180,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,3,4,4,4,2,2,2,1,2,2,4,2,2,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,4,1,4,2,2,4,3,4,3,2,"黄","phase_011_subj_2",1,NA,NA
18,649,2,3,3,3,2,3,3,3,3,3,3,3,3,4,2,3,4,3,4,4,1,3,3,2,2,2,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,4,4,3,4,2,4,4,3,3,"王","phase_011_subj_23",1,NA,NA
19,440,4,4,3,3,3,4,3,3,3,3,4,3,3,4,3,4,3,3,4,4,5,4,3,3,3,3,4,4,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,4,5,3,4,3,4,4,4,4,"胡","phase_011_subj_14",1,NA,NA
20,529,3,4,4,3,3,4,3,2,3,4,3,2,2,2,3,3,4,5,4,4,4,4,5,4,4,3,4,4,5,0,1,1,1,1,1,0,0,0,1,1,0,1,0,0,4,5,4,3,4,3,5,4,2,3,"李","phase_011_subj_19",4,NA,NA
21,444,3,3,4,4,3,3,3,3,3,4,4,2,4,4,3,4,4,2,4,4,4,4,2,4,2,2,2,2,2,1,0,1,1,0,1,0,0,0,1,1,0,1,0,1,4,4,4,3,3,4,4,4,3,3,"林","phase_011_subj_15",3,NA,NA
22,446,3,3,3,3,2,3,3,3,3,4,4,2,1,4,3,4,3,4,4,5,4,5,4,4,3,4,4,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,3,4,2,3,3,5,4,3,2,"杨","phase_011_subj_16",4,NA,NA
23,472,3,3,3,3,2,3,3,4,3,3,4,3,2,4,3,4,3,3,4,3,1,3,3,3,3,2,3,3,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,4,4,4,3,4,3,3,3,3,3,"夏","phase_011_subj_18",1,NA,NA
1,345,4,3,4,3,4,3,3,4,4,4,4,4,3,4,3,4,4,3,4,4,3,2,2,2,2,2,2,2,2,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,4,2,2,1,2,3,3,2,2,1,"王","phase_012_subj_9",4,NA,NA
2,345,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,1,2,1,1,1,2,1,5,1,"周","phase_012_subj_8",5,NA,NA
3,451,3,4,4,3,4,4,4,3,4,4,4,5,4,5,5,4,4,5,4,5,1,2,2,2,1,2,1,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4,1,2,2,1,2,1,1,4,2,"章","phase_012_subj_12",NA,NA,NA
4,363,3,3,3,3,3,3,3,3,2,2,4,2,1,3,3,4,3,3,4,3,2,3,2,3,3,3,3,4,4,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,4,3,4,2,2,2,4,3,2,2,"焦","phase_012_subj_10",1,NA,NA
5,690,4,4,4,3,3,4,3,3,4,4,4,4,4,4,4,4,4,3,4,4,4,2,3,2,2,2,3,3,2,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,4,3,4,3,4,3,4,3,3,2,"李","phase_012_subj_20",4,NA,NA
6,533,3,3,4,3,4,3,3,2,3,3,3,4,2,4,3,4,2,2,4,4,4,4,4,4,4,4,4,4,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5,5,4,2,5,4,4,4,3,1,"王","phase_012_subj_16",3,NA,NA
7,131,4,4,4,4,4,4,4,3,4,4,5,5,5,5,5,5,5,5,5,5,4,4,3,2,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,5,1,1,2,2,4,5,5,5,3,"刘","phase_012_subj_2",1,NA,NA
8,189,3,3,4,3,2,3,3,4,4,4,4,5,5,4,4,4,4,4,4,5,2,1,2,1,2,2,1,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,4,2,2,2,2,4,2,1,1,2,"王","phase_012_subj_5",1,NA,NA
9,399,4,4,4,3,4,4,4,3,4,4,5,3,4,4,4,5,5,5,4,5,5,3,5,3,2,4,4,1,5,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,4,1,2,2,4,4,5,4,5,3,"林","phase_012_subj_11",5,NA,NA
10,698,3,3,3,3,3,3,3,3,3,3,4,4,2,4,4,4,4,4,4,4,2,2,2,2,2,2,2,4,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,4,4,2,2,2,4,2,4,2,"姚","phase_012_subj_21",5,NA,NA
11,551,3,3,3,3,3,3,3,1,3,3,4,3,2,4,4,4,4,4,4,4,2,2,2,2,2,1,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,4,5,2,2,3,4,2,"许","phase_012_subj_18",3,NA,NA
12,514,3,4,4,3,3,4,3,3,4,4,4,4,1,3,4,4,5,3,3,4,3,5,4,2,2,2,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,2,3,2,4,5,4,3,"梁","phase_012_subj_15",3,NA,NA
13,467,4,3,4,4,3,4,4,4,3,4,4,5,4,4,1,2,4,4,4,5,1,2,2,3,2,3,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,4,2,1,1,2,3,4,4,4,2,"刘","phase_012_subj_13",1,NA,NA
14,501,3,3,4,3,4,3,3,4,4,4,4,5,5,4,4,4,5,4,4,4,1,1,2,1,1,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4,3,5,4,2,2,2,2,2,1,"贺","phase_012_subj_14",5,NA,NA
15,279,3,4,3,3,3,3,3,2,3,3,3,2,2,3,2,4,3,3,4,4,4,4,4,4,4,4,3,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,5,4,5,4,5,4,4,3,2,"叶","phase_012_subj_7",4,NA,NA
16,542,3,4,4,3,3,4,3,3,4,4,4,5,5,4,4,5,5,4,4,5,1,2,1,1,2,2,2,1,2,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,4,1,2,3,2,2,3,4,4,2,"刘","phase_012_subj_17",4,NA,NA
17,625,2,2,2,1,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,2,4,5,4,4,4,5,4,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,4,5,4,4,4,4,5,3,3,"王","phase_012_subj_19",NA,NA,NA
18,167,4,4,4,4,2,4,3,2,3,3,4,3,2,5,4,5,4,4,4,4,1,2,2,2,2,2,2,2,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,5,2,4,2,3,4,4,4,2,2,"梁","phase_012_subj_3",2,NA,NA
