"","subj_idx","subj_name","selfclarity","score"
"198",685024029475602432,"于**","6",3
"199",685024029475602432,"于**","7",4
"200",685024029475602432,"于**","8",3
"201",685024029475602432,"于**","9",2
"202",685024029475602432,"于**","10",3
"203",685024029475602432,"于**","11",4
"204",685024029475602432,"于**","12",3
"205",690626004959363072,"李*","1",3
"206",690626004959363072,"李*","2",4
"207",690626004959363072,"李*","3",2
"208",690626004959363072,"李*","4",3
"209",690626004959363072,"李*","5",2
"210",690626004959363072,"李*","6",3
"211",690626004959363072,"李*","7",3
"212",690626004959363072,"李*","8",4
"213",690626004959363072,"李*","9",4
"214",690626004959363072,"李*","10",3
"215",690626004959363072,"李*","11",3
"216",690626004959363072,"李*","12",2
"217",690857936225828864,"王**","1",5
"218",690857936225828864,"王**","2",4
"219",690857936225828864,"王**","3",4
"220",690857936225828864,"王**","4",3
"221",690857936225828864,"王**","5",3
"222",690857936225828864,"王**","6",4
"223",690857936225828864,"王**","7",3
"224",690857936225828864,"王**","8",5
"225",690857936225828864,"王**","9",5
"226",690857936225828864,"王**","10",2
"227",690857936225828864,"王**","11",3
"228",690857936225828864,"王**","12",2
"229",700412646083526656,"周**","1",5
"230",700412646083526656,"周**","2",5
"231",700412646083526656,"周**","3",5
"232",700412646083526656,"周**","4",4
"233",700412646083526656,"周**","5",5
"234",700412646083526656,"周**","6",4
"235",700412646083526656,"周**","7",2
"236",700412646083526656,"周**","8",5
"237",700412646083526656,"周**","9",5
"238",700412646083526656,"周**","10",4
"239",700412646083526656,"周**","11",4
"240",700412646083526656,"周**","12",5
"241",701370990290010112,"魏**","1",5
"242",701370990290010112,"魏**","2",4
"243",701370990290010112,"魏**","3",4
"244",701370990290010112,"魏**","4",2
"245",701370990290010112,"魏**","5",4
"246",701370990290010112,"魏**","6",4
"247",701370990290010112,"魏**","7",4
"248",701370990290010112,"魏**","8",4
"249",701370990290010112,"魏**","9",5
"250",701370990290010112,"魏**","10",2
"251",701370990290010112,"魏**","11",4
"252",701370990290010112,"魏**","12",3
"253",703157170715230208,"齐**","1",3
"254",703157170715230208,"齐**","2",4
"255",703157170715230208,"齐**","3",2
"256",703157170715230208,"齐**","4",4
"257",703157170715230208,"齐**","5",4
"258",703157170715230208,"齐**","6",4
"259",703157170715230208,"齐**","7",2
"260",703157170715230208,"齐**","8",4
"261",703157170715230208,"齐**","9",4
"262",703157170715230208,"齐**","10",4
"263",703157170715230208,"齐**","11",4
"264",703157170715230208,"齐**","12",3
"265",718754642447564800,"徐*","1",4
"266",718754642447564800,"徐*","2",4
"267",718754642447564800,"徐*","3",3
"268",718754642447564800,"徐*","4",3
"269",718754642447564800,"徐*","5",4
"270",718754642447564800,"徐*","6",3
"271",718754642447564800,"徐*","7",5
"272",718754642447564800,"徐*","8",4
"273",718754642447564800,"徐*","9",4
"274",718754642447564800,"徐*","10",4
"275",718754642447564800,"徐*","11",3
"276",718754642447564800,"徐*","12",4
"277",728341831389020160,"曹**","1",4
"278",728341831389020160,"曹**","2",4
"279",728341831389020160,"曹**","3",2
"280",728341831389020160,"曹**","4",4
"281",728341831389020160,"曹**","5",5
"282",728341831389020160,"曹**","6",4
"283",728341831389020160,"曹**","7",4
"284",728341831389020160,"曹**","8",4
"285",728341831389020160,"曹**","9",4
"286",728341831389020160,"曹**","10",5
"287",728341831389020160,"曹**","11",4
"288",728341831389020160,"曹**","12",5
"289",732181640226541568,"刘**","1",4
"290",732181640226541568,"刘**","2",4
"291",732181640226541568,"刘**","3",2
"292",732181640226541568,"刘**","4",3
"293",732181640226541568,"刘**","5",4
"294",732181640226541568,"刘**","6",2
"295",732181640226541568,"刘**","7",5
"296",732181640226541568,"刘**","8",4
"297",732181640226541568,"刘**","9",4
"298",732181640226541568,"刘**","10",2
"299",732181640226541568,"刘**","11",5
"300",732181640226541568,"刘**","12",4
"301",732226150302224384,"苗**","1",3
"302",732226150302224384,"苗**","2",3
"303",732226150302224384,"苗**","3",2
"304",732226150302224384,"苗**","4",3
"305",732226150302224384,"苗**","5",2
"306",732226150302224384,"苗**","6",3
"307",732226150302224384,"苗**","7",2
"308",732226150302224384,"苗**","8",3
"309",732226150302224384,"苗**","9",3
"310",732226150302224384,"苗**","10",2
"311",732226150302224384,"苗**","11",3
"312",732226150302224384,"苗**","12",4
"313",732253451962290176,"方**","1",4
"314",732253451962290176,"方**","2",5
"315",732253451962290176,"方**","3",4
"316",732253451962290176,"方**","4",4
"317",732253451962290176,"方**","5",4
"318",732253451962290176,"方**","6",4
"319",732253451962290176,"方**","7",3
"320",732253451962290176,"方**","8",4
"321",732253451962290176,"方**","9",4
"322",732253451962290176,"方**","10",4
"323",732253451962290176,"方**","11",4
"324",732253451962290176,"方**","12",4
"325",734370312904511488,"陈**","1",2
"326",734370312904511488,"陈**","2",1
"327",734370312904511488,"陈**","3",2
"328",734370312904511488,"陈**","4",2
"329",734370312904511488,"陈**","5",3
"330",734370312904511488,"陈**","6",2
"331",734370312904511488,"陈**","7",1
"332",734370312904511488,"陈**","8",1
"333",734370312904511488,"陈**","9",2
"334",734370312904511488,"陈**","10",1
"335",734370312904511488,"陈**","11",4
"336",734370312904511488,"陈**","12",1
"337",735606541780258816,"丁**","1",2
"338",735606541780258816,"丁**","2",2
"339",735606541780258816,"丁**","3",4
"340",735606541780258816,"丁**","4",3
"341",735606541780258816,"丁**","5",3
"342",735606541780258816,"丁**","6",1
"343",735606541780258816,"丁**","7",2
"344",735606541780258816,"丁**","8",2
"345",735606541780258816,"丁**","9",2
"346",735606541780258816,"丁**","10",1
"347",735606541780258816,"丁**","11",3
"348",735606541780258816,"丁**","12",2
"349",742402460798423040,"刘**","1",3
"350",742402460798423040,"刘**","2",4
"351",742402460798423040,"刘**","3",3
"352",742402460798423040,"刘**","4",2
"353",742402460798423040,"刘**","5",2
"354",742402460798423040,"刘**","6",3
"355",742402460798423040,"刘**","7",1
"356",742402460798423040,"刘**","8",3
"357",742402460798423040,"刘**","9",2
"358",742402460798423040,"刘**","10",2
"359",742402460798423040,"刘**","11",3
"360",742402460798423040,"刘**","12",1
"361",745398419547492352,NA,"1",4
"362",745398419547492352,NA,"2",5
"363",745398419547492352,NA,"3",4
"364",745398419547492352,NA,"4",4
"365",745398419547492352,NA,"5",4
"366",745398419547492352,NA,"6",4
"367",745398419547492352,NA,"7",4
"368",745398419547492352,NA,"8",4
"369",745398419547492352,NA,"9",5
"370",745398419547492352,NA,"10",4
"371",745398419547492352,NA,"11",4
"372",745398419547492352,NA,"12",4
"373",746397539082964992,"杨**","1",4
"374",746397539082964992,"杨**","2",4
"375",746397539082964992,"杨**","3",3
"376",746397539082964992,"杨**","4",4
"377",746397539082964992,"杨**","5",5
"378",746397539082964992,"杨**","6",3
"379",746397539082964992,"杨**","7",4
"380",746397539082964992,"杨**","8",5
"381",746397539082964992,"杨**","9",3
"382",746397539082964992,"杨**","10",2
"383",746397539082964992,"杨**","11",5
"384",746397539082964992,"杨**","12",3
"385",754088587779379200,NA,"1",4
"386",754088587779379200,NA,"2",4
"387",754088587779379200,NA,"3",3
"388",754088587779379200,NA,"4",3
"389",754088587779379200,NA,"5",4
"390",754088587779379200,NA,"6",2
"391",754088587779379200,NA,"7",4
"392",754088587779379200,NA,"8",2
"393",754088587779379200,NA,"9",2
"394",754088587779379200,NA,"10",4
"395",754088587779379200,NA,"11",3
"396",754088587779379200,NA,"12",3
"397",755507503227473920,NA,"1",4
"398",755507503227473920,NA,"2",4
"399",755507503227473920,NA,"3",3
"400",755507503227473920,NA,"4",4
"401",755507503227473920,NA,"5",5
"402",755507503227473920,NA,"6",4
"403",755507503227473920,NA,"7",3
"404",755507503227473920,NA,"8",4
"405",755507503227473920,NA,"9",4
"406",755507503227473920,NA,"10",4
"407",755507503227473920,NA,"11",4
"408",755507503227473920,NA,"12",2
